cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      342    alloca          64     0    49       15    
1      343    alloca          64     0    50       14    
2      344    alloca          64     0    50       14    
3      345    alloca          64     0    49       15    
4      346    alloca          64     0    53       11    
5      347    alloca          64     2    54       8     
6      348    alloca          64     1    56       7     
7      349    alloca          64     0    57       7     
8      350    alloca          64     0    55       9     
9      351    alloca          64     1    50       13    
10     352    alloca          64     1    55       8     
11     353    alloca          64     0    55       9     
12     354    alloca          64     3    53       8     
13     358    bitcast         64     0    64       0     
14     360    bitcast         64     0    64       0     
15     364    call            64     0    59       5     
16     365    bitcast         64     0    59       5     
17     367    load            64     0    60       4     
18     368    bitcast         64     0    61       3     
19     370    load            32     3    29       0     
20     371    load            64     0    64       0     
21     372    getelementptr   64     0    64       0     
22     374    load            32     0    0        32    
23     375    load            64     0    49       15    
24     376    getelementptr   64     1    51       12    
25     380    load            32     0    28       4     
26     381    load            32     0    1        31    
27     382    icmp            1      0    1        0     
28     384    load            32     0    32       0     
29     385    sext            64     0    64       0     
30     386    getelementptr   64     0    64       0     
31     387    load            8      0    8        0     
32     388    load            32     0    32       0     
33     389    sext            64     0    60       4     
34     390    load            64     0    64       0     
35     391    getelementptr   64     0    64       0     
36     392    getelementptr   64     0    64       0     
37     393    getelementptr   64     0    64       0     
38     395    load            32     0    19       13    
39     396    sext            64     0    47       17    
40     397    load            64     0    49       15    
41     398    getelementptr   64     0    50       14    
42     399    getelementptr   64     0    48       16    
43     400    getelementptr   64     0    51       13    
44     403    load            32     0    32       0     
45     404    add             32     0    31       1     
46     380    load            32     0    29       3     
47     381    load            32     0    2        30    
48     382    icmp            1      0    1        0     
49     384    load            32     0    32       0     
50     385    sext            64     0    64       0     
51     386    getelementptr   64     0    64       0     
52     387    load            8      0    8        0     
53     388    load            32     0    32       0     
54     389    sext            64     0    60       4     
55     390    load            64     0    64       0     
56     391    getelementptr   64     0    64       0     
57     392    getelementptr   64     0    64       0     
58     393    getelementptr   64     0    64       0     
59     395    load            32     0    19       13    
60     396    sext            64     0    47       17    
61     397    load            64     0    50       14    
62     398    getelementptr   64     0    50       14    
63     399    getelementptr   64     0    51       13    
64     400    getelementptr   64     0    51       13    
65     403    load            32     0    31       1     
66     404    add             32     0    31       1     
67     380    load            32     0    29       3     
68     381    load            32     0    2        30    
69     382    icmp            1      0    1        0     
70     384    load            32     0    32       0     
71     385    sext            64     0    64       0     
72     386    getelementptr   64     0    64       0     
73     387    load            8      0    8        0     
74     388    load            32     0    32       0     
75     389    sext            64     0    60       4     
76     390    load            64     0    64       0     
77     391    getelementptr   64     0    64       0     
78     392    getelementptr   64     0    64       0     
79     393    getelementptr   64     0    64       0     
80     395    load            32     0    19       13    
81     396    sext            64     0    47       17    
82     397    load            64     0    49       15    
83     398    getelementptr   64     0    50       14    
84     399    getelementptr   64     0    50       14    
85     400    getelementptr   64     0    49       15    
86     403    load            32     0    31       1     
87     404    add             32     0    30       2     
88     380    load            32     0    29       3     
89     381    load            32     0    2        30    
90     382    icmp            1      0    1        0     
91     384    load            32     0    32       0     
92     385    sext            64     0    64       0     
93     386    getelementptr   64     0    64       0     
94     387    load            8      0    8        0     
95     388    load            32     0    32       0     
96     389    sext            64     0    60       4     
97     390    load            64     0    64       0     
98     391    getelementptr   64     0    64       0     
99     392    getelementptr   64     0    64       0     
100    393    getelementptr   64     0    64       0     
101    395    load            32     0    19       13    
102    396    sext            64     0    47       17    
103    397    load            64     0    51       13    
104    398    getelementptr   64     0    53       11    
105    399    getelementptr   64     0    51       13    
106    400    getelementptr   64     0    51       13    
107    403    load            32     0    30       2     
108    404    add             32     0    31       1     
109    380    load            32     0    30       2     
110    381    load            32     0    3        29    
111    382    icmp            1      0    1        0     
112    384    load            32     0    32       0     
113    385    sext            64     0    64       0     
114    386    getelementptr   64     0    64       0     
115    387    load            8      0    8        0     
116    388    load            32     0    32       0     
117    389    sext            64     0    60       4     
118    390    load            64     0    64       0     
119    391    getelementptr   64     0    64       0     
120    392    getelementptr   64     0    64       0     
121    393    getelementptr   64     0    64       0     
