cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      355    store           32     0    0        32    
1      356    store           32     0    0        32    
2      357    store           64     0    0        64    
3      359    call            64     0    64       0     
4      361    call            64     0    64       0     
5      362    store           32     1    31       0     
6      363    store           32     3    29       0     
7      364    call            64     0    49       15    
8      366    store           64     0    62       2     
9      369    call            64     0    57       7     
10     373    store           32     2    30       0     
11     377    store           32     0    0        32    
12     378    store           32     0    32       0     
13     383    br              1      0    1        0     
14     394    store           8      0    8        0     
15     401    store           64     0    64       0     
16     405    store           32     0    31       1     
17     383    br              1      0    1        0     
18     394    store           8      0    8        0     
19     401    store           64     0    64       0     
20     405    store           32     0    31       1     
21     383    br              1      0    1        0     
22     394    store           8      0    8        0     
23     401    store           64     0    64       0     
24     405    store           32     0    30       2     
25     383    br              1      0    1        0     
26     394    store           8      0    8        0     
27     401    store           64     0    64       0     
28     405    store           32     0    31       1     
29     383    br              1      0    1        0     
30     394    store           8      0    8        0     
31     401    store           64     0    64       0     
32     405    store           32     0    30       2     
33     383    br              1      0    1        0     
34     394    store           8      0    8        0     
35     401    store           64     0    64       0     
36     405    store           32     0    30       2     
37     383    br              1      0    1        0     
38     394    store           8      0    8        0     
39     401    store           64     0    64       0     
40     405    store           32     0    1        31    
41     383    br              1      0    0        1     
42     407    store           32     4    28       0     
43     412    br              1      0    1        0     
44     419    call            64     1    63       0     
45     4      store           64     0    64       0     
46     5      store           8      2    6        0     
47     6      store           32     0    32       0     
48     13     br              1      0    1        0     
49     25     br              1      0    1        0     
50     27     store           32     13   19       0     
51     37     ret             32     13   19       0     
52     420    store           32     13   19       0     
53     427    call            64     0    64       0     
54     4      store           64     0    64       0     
55     5      store           8      2    6        0     
56     6      store           32     0    31       1     
57     13     br              1      0    1        0     
58     25     br              1      1    0        0     
59     32     store           32     0    31       1     
60     13     br              1      0    1        0     
61     25     br              1      0    1        0     
62     27     store           32     13   19       0     
63     37     ret             32     13   19       0     
64     428    store           32     13   19       0     
65     429    call            64     0    54       10    
66     431    store           64     0    53       11    
67     435    store           32     13   19       0     
68     443    store           32     0    0        32    
69     452    br              1      0    1        0     
70     460    store           64     8    56       0     
71     472    call            64     0    54       10    
72     474    store           64     0    53       11    
73     478    store           32     13   19       0     
74     486    store           32     3    0        29    
75     495    br              1      0    1        0     
76     503    store           64     6    58       0     
77     518    store           32     3    29       0     
78     412    br              1      0    1        0     
79     419    call            64     1    63       0     
80     4      store           64     0    64       0     
81     5      store           8      2    6        0     
82     6      store           32     0    32       0     
83     13     br              1      0    1        0     
84     25     br              1      0    1        0     
85     27     store           32     13   19       0     
86     37     ret             32     13   19       0     
87     420    store           32     13   19       0     
88     427    call            64     1    63       0     
89     4      store           64     2    62       0     
90     5      store           8      3    5        0     
91     6      store           32     0    29       3     
92     13     br              1      0    1        0     
93     25     br              1      1    0        0     
94     32     store           32     0    29       3     
95     13     br              1      0    1        0     
96     25     br              1      1    0        0     
97     32     store           32     0    30       2     
98     13     br              1      0    1        0     
99     25     br              1      1    0        0     
100    32     store           32     0    30       2     
101    13     br              1      0    1        0     
102    25     br              1      1    0        0     
103    32     store           32     0    30       2     
104    13     br              1      0    1        0     
105    25     br              1      1    0        0     
106    32     store           32     0    30       2     
107    13     br              1      0    1        0     
108    25     br              1      0    1        0     
109    27     store           32     13   19       0     
110    37     ret             32     13   19       0     
111    428    store           32     13   19       0     
112    429    call            64     0    54       10    
113    431    store           64     1    51       12    
114    435    store           32     13   19       0     
115    443    store           32     0    0        32    
116    452    br              1      1    0        0     
117    470    call            64     10   54       0     
118    40     store           64     8    56       0     
119    41     store           64     9    55       0     
120    47     br              1      0    1        0     
121    56     store           64     9    55       0     
122    472    call            64     0    54       10    
123    474    store           64     0    50       14    
124    478    store           32     13   19       0     
125    486    store           32     32   0        0     
126    495    br              1      0    1        0     
127    503    store           64     9    55       0     
128    518    store           32     3    29       0     
129    412    br              1      0    1        0     
130    419    call            64     1    63       0     
131    4      store           64     0    64       0     
132    5      store           8      2    6        0     
133    6      store           32     0    32       0     
134    13     br              1      0    1        0     
135    25     br              1      0    1        0     
136    27     store           32     12   20       0     
137    37     ret             32     12   20       0     
138    420    store           32     12   20       0     
139    427    call            64     2    62       0     
140    4      store           64     1    63       0     
141    5      store           8      3    5        0     
142    6      store           32     0    29       3     
143    13     br              1      0    1        0     
144    25     br              1      1    0        0     
145    32     store           32     0    29       3     
146    13     br              1      0    1        0     
147    25     br              1      1    0        0     
148    32     store           32     0    29       3     
149    13     br              1      0    1        0     
150    25     br              1      1    0        0     
