cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      32     store           32     0    0        32    
1      33     store           32     0    2        30    
2      34     store           64     1    63       0     
3      35     store           32     16   16       0     
4      38     br              1      0    1        0     
5      46     call            64     0    64       0     
6      47     store           64     2    62       0     
7      54     call            64     2    62       0     
8      56     br              1      1    0        0     
9      61     br              1      1    0        0     
10     64     store           32     16   16       0     
11     54     call            64     3    61       0     
12     56     br              1      1    0        0     
13     61     br              1      1    0        0     
14     64     store           32     16   16       0     
15     54     call            64     3    61       0     
16     56     br              1      1    0        0     
17     61     br              1      1    0        0     
18     64     store           32     16   16       0     
19     54     call            64     3    61       0     
20     56     br              1      1    0        0     
21     61     br              1      1    0        0     
22     64     store           32     16   16       0     
23     54     call            64     3    61       0     
24     56     br              1      1    0        0     
25     61     br              1      1    0        0     
26     64     store           32     16   16       0     
27     54     call            64     3    61       0     
28     56     br              1      1    0        0     
29     61     br              1      1    0        0     
30     64     store           32     16   16       0     
31     54     call            64     2    62       0     
32     56     br              1      1    0        0     
33     61     br              1      1    0        0     
34     64     store           32     16   16       0     
35     54     call            64     2    62       0     
36     56     br              1      1    0        0     
37     61     br              1      1    0        0     
38     64     store           32     16   16       0     
39     54     call            64     3    61       0     
40     56     br              1      1    0        0     
41     61     br              1      1    0        0     
42     64     store           32     16   16       0     
43     54     call            64     2    62       0     
44     56     br              1      1    0        0     
45     61     br              1      1    0        0     
46     64     store           32     16   16       0     
47     54     call            64     3    61       0     
48     56     br              1      1    0        0     
49     61     br              1      1    0        0     
50     64     store           32     16   16       0     
51     54     call            64     0    61       3     
52     56     br              1      1    0        0     
53     61     br              1      1    0        0     
54     68     call            64     13   50       1     
55     73     call            64     17   47       0     
56     3      store           64     2    43       19    
57     4      store           64     19   44       1     
58     13     call            64     1    46       17    
59     14     store           32     1    0        31    
60     17     br              1      1    0        0     
61     24     ret             32     2    0        30    
62     3      store           64     3    44       17    
63     4      store           64     14   46       4     
64     13     call            64     3    45       16    
65     14     store           32     1    0        31    
66     17     br              1      1    0        0     
67     24     ret             32     2    0        30    
68     3      store           64     15   43       6     
69     4      store           64     1    45       18    
70     13     call            64     17   43       4     
71     14     store           32     1    0        31    
72     17     br              1      1    0        0     
73     24     ret             32     1    0        31    
74     3      store           64     17   46       1     
75     4      store           64     2    43       19    
76     13     call            64     21   43       0     
77     14     store           32     1    0        31    
78     17     br              1      1    0        0     
79     24     ret             32     1    0        31    
80     3      store           64     1    46       17    
81     4      store           64     17   45       2     
82     13     call            64     3    43       18    
83     14     store           32     1    0        31    
84     17     br              1      1    0        0     
85     24     ret             32     2    0        30    
86     3      store           64     14   45       5     
87     4      store           64     3    46       15    
88     13     call            64     13   45       6     
89     14     store           32     1    0        31    
90     17     br              1      1    0        0     
91     24     ret             32     1    0        31    
92     3      store           64     20   43       1     
93     4      store           64     0    46       18    
94     13     call            64     16   45       3     
95     14     store           32     1    0        31    
96     17     br              1      1    0        0     
97     24     ret             32     1    0        31    
98     3      store           64     1    44       19    
99     4      store           64     17   44       3     
100    13     call            64     1    42       21    
101    14     store           32     1    0        31    
102    17     br              1      1    0        0     
103    24     ret             32     2    0        30    
104    3      store           64     3    44       17    
105    4      store           64     15   44       5     
106    13     call            64     0    44       20    
107    14     store           32     1    0        31    
108    17     br              1      1    0        0     
109    24     ret             32     2    0        30    
110    3      store           64     18   43       3     
111    4      store           64     3    46       15    
112    13     call            64     15   47       2     
113    14     store           32     1    0        31    
114    17     br              1      1    0        0     
115    24     ret             32     1    0        31    
116    3      store           64     3    44       17    
117    4      store           64     16   46       2     
118    13     call            64     2    44       18    
119    14     store           32     1    0        31    
120    17     br              1      1    0        0     
121    24     ret             32     2    0        30    
122    3      store           64     18   42       4     
123    4      store           64     5    45       14    
124    13     call            64     18   43       3     
125    14     store           32     1    0        31    
126    17     br              1      1    0        0     
127    24     ret             32     1    0        31    
128    3      store           64     19   43       2     
129    4      store           64     0    43       21    
130    13     call            64     20   44       0     
131    14     store           32     1    0        31    
132    17     br              1      1    0        0     
133    24     ret             32     1    0        31    
134    3      store           64     22   42       0     
135    4      store           64     0    45       19    
136    13     call            64     20   43       1     
137    14     store           32     1    0        31    
138    17     br              1      1    0        0     
139    24     ret             32     1    0        31    
140    3      store           64     3    43       18    
