cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      126    alloca          64     0    48       16    
1      127    alloca          64     0    48       16    
2      128    alloca          64     2    52       10    
3      129    alloca          64     1    57       6     
4      0      alloca          64     1    48       15    
5      2      load            64     0    64       0     
6      3      getelementptr   64     0    64       0     
7      5      load            64     13   49       2     
8      6      getelementptr   64     13   49       2     
9      8      load            64     0    64       0     
10     9      getelementptr   64     0    64       0     
11     12     alloca          64     1    51       12    
12     13     alloca          64     2    52       10    
13     16     load            64     7    48       9     
14     17     getelementptr   64     6    48       10    
15     18     load            32     23   0        9     
16     19     icmp            1      1    0        0     
17     24     load            64     15   49       0     
18     25     getelementptr   64     18   46       0     
19     26     load            32     32   0        0     
20     27     add             32     32   0        0     
21     28     srem            32     12   20       0     
22     29     load            64     12   52       0     
23     30     getelementptr   64     15   49       0     
24     32     load            32     8    24       0     
25     33     load            64     1    53       10    
26     34     getelementptr   64     0    54       10    
27     35     load            32     12   20       0     
28     36     sext            64     12   50       2     
29     37     load            64     12   52       0     
30     38     getelementptr   64     12   52       0     
31     39     getelementptr   64     16   48       0     
32     41     load            64     3    55       6     
33     42     getelementptr   64     2    53       9     
34     43     load            32     1    31       0     
35     44     add             32     2    30       0     
36     45     load            64     14   50       0     
37     46     getelementptr   64     14   50       0     
38     112    alloca          64     0    48       16    
39     113    alloca          64     0    48       16    
40     115    load            64     8    49       7     
41     116    getelementptr   64     10   49       5     
42     117    load            32     2    0        30    
43     118    icmp            1      1    0        0     
44     124    load            32     32   0        0     
45     134    call            32     32   0        0     
46     135    icmp            1      1    0        0     
47     50     alloca          64     0    50       14    
48     51     alloca          64     0    50       14    
49     53     load            64     9    48       7     
50     54     getelementptr   64     10   49       5     
51     55     load            32     2    0        30    
52     56     icmp            1      1    0        0     
53     60     load            64     0    54       10    
54     61     getelementptr   64     0    56       8     
55     62     load            32     2    28       2     
56     63     sext            64     2    58       4     
57     64     load            64     1    57       6     
58     65     getelementptr   64     0    57       7     
59     66     getelementptr   64     3    53       8     
60     67     load            32     8    24       0     
61     70     load            32     8    24       0     
62     137    call            32     8    24       0     
63     139    load            32     32   0        0     
64     140    add             32     32   0        0     
65     141    getelementptr   64     9    49       6     
66     142    load            32     32   0        0     
67     143    getelementptr   64     3    49       12    
68     144    load            32     32   0        0     
69     145    call            32     0    0        32    
70     94     alloca          64     0    52       12    
71     96     load            64     0    56       8     
72     97     getelementptr   64     0    58       6     
73     98     load            32     0    32       0     
74     99     add             32     1    31       0     
75     100    srem            32     1    31       0     
76     101    load            64     15   49       0     
77     102    getelementptr   64     15   49       0     
78     104    load            64     11   53       0     
79     105    getelementptr   64     9    54       1     
80     106    load            32     2    30       0     
81     107    sub             32     1    31       0     
82     108    load            64     0    64       0     
83     109    getelementptr   64     0    64       0     
84     149    load            32     1    0        31    
85     150    icmp            1      1    0        0     
86     152    load            32     0    22       10    
87     153    sext            64     0    52       12    
88     154    load            32     2    24       6     
89     155    sext            64     2    53       9     
90     156    getelementptr   64     0    51       13    
91     157    getelementptr   64     0    51       13    
92     158    load            32     1    0        31    
93     159    icmp            1      1    0        0     
94     165    load            32     9    21       2     
95     166    add             32     9    21       2     
96     149    load            32     1    0        31    
97     150    icmp            1      1    0        0     
98     152    load            32     0    22       10    
99     153    sext            64     0    52       12    
100    154    load            32     1    24       7     
101    155    sext            64     1    53       10    
102    156    getelementptr   64     0    51       13    
103    157    getelementptr   64     0    51       13    
104    158    load            32     1    0        31    
105    159    icmp            1      1    0        0     
106    165    load            32     9    21       2     
107    166    add             32     10   21       1     
108    149    load            32     1    0        31    
109    150    icmp            1      1    0        0     
110    152    load            32     8    22       2     
111    153    sext            64     8    52       4     
112    154    load            32     9    23       0     
113    155    sext            64     8    53       3     
114    156    getelementptr   64     13   51       0     
115    157    getelementptr   64     12   51       1     
116    158    load            32     32   0        0     
117    159    icmp            1      1    0        0     
118    161    load            32     8    24       0     
119    12     alloca          64     0    52       12    
120    13     alloca          64     3    52       9     
121    16     load            64     2    48       14    
122    17     getelementptr   64     6    49       9     
123    18     load            32     23   0        9     
124    19     icmp            1      1    0        0     
125    24     load            64     0    55       9     
126    25     getelementptr   64     1    55       8     
127    26     load            32     4    28       0     
128    27     add             32     3    29       0     
129    28     srem            32     0    32       0     
130    29     load            64     0    64       0     
131    30     getelementptr   64     0    64       0     
132    32     load            32     8    24       0     
133    33     load            64     15   49       0     
134    34     getelementptr   64     11   52       1     
135    35     load            32     12   20       0     
136    36     sext            64     12   50       2     
137    37     load            64     13   51       0     
138    38     getelementptr   64     11   53       0     
139    39     getelementptr   64     13   51       0     
140    41     load            64     2    55       7     
141    42     getelementptr   64     0    57       7     
142    43     load            32     1    31       0     
143    44     add             32     2    30       0     
144    45     load            64     12   52       0     
145    46     getelementptr   64     13   51       0     
146    165    load            32     11   21       0     
147    166    add             32     11   21       0     
148    149    load            32     1    0        31    
149    150    icmp            1      1    0        0     
150    152    load            32     8    22       2     
151    153    sext            64     8    52       4     
152    154    load            32     8    24       0     
153    155    sext            64     8    53       3     
154    156    getelementptr   64     12   51       1     
155    157    getelementptr   64     12   51       1     
156    158    load            32     32   0        0     
157    159    icmp            1      1    0        0     
158    161    load            32     8    24       0     
159    12     alloca          64     1    48       15    
160    13     alloca          64     2    51       11    
161    16     load            64     4    50       10    
162    17     getelementptr   64     6    49       9     
163    18     load            32     23   0        9     
164    19     icmp            1      1    0        0     
165    24     load            64     0    64       0     
166    25     getelementptr   64     0    63       1     
167    26     load            32     0    32       0     
168    27     add             32     0    32       0     
169    28     srem            32     0    32       0     
170    29     load            64     0    64       0     
171    30     getelementptr   64     0    64       0     
172    32     load            32     8    24       0     
173    33     load            64     0    64       0     
174    34     getelementptr   64     0    64       0     
175    35     load            32     0    32       0     
176    36     sext            64     0    62       2     
177    37     load            64     0    64       0     
178    38     getelementptr   64     0    64       0     
179    39     getelementptr   64     0    64       0     
180    41     load            64     8    56       0     
181    42     getelementptr   64     8    55       1     
182    43     load            32     2    30       0     
183    44     add             32     2    30       0     
184    45     load            64     13   51       0     
185    46     getelementptr   64     14   50       0     
186    165    load            32     9    21       2     
187    166    add             32     9    21       2     
188    149    load            32     0    0        32    
189    150    icmp            1      0    0        1     
190    152    load            32     2    22       8     
191    153    sext            64     2    52       10    
192    154    load            32     0    24       8     
193    155    sext            64     0    53       11    
194    156    getelementptr   64     2    51       11    
195    157    getelementptr   64     1    51       12    
196    158    load            32     1    0        31    
197    159    icmp            1      1    0        0     
198    165    load            32     9    21       2     
199    166    add             32     9    21       2     
200    149    load            32     0    0        32    
201    150    icmp            1      0    0        1     
202    152    load            32     1    22       9     
203    153    sext            64     1    52       11    
204    154    load            32     0    24       8     
205    155    sext            64     0    53       11    
206    156    getelementptr   64     1    51       12    
207    157    getelementptr   64     1    51       12    
208    158    load            32     1    0        31    
209    159    icmp            1      1    0        0     
210    165    load            32     8    22       2     
211    166    add             32     0    1        31    
212    149    load            32     0    0        32    
213    150    icmp            1      0    0        1     
214    112    alloca          64     1    50       13    
215    113    alloca          64     0    47       17    
216    115    load            64     11   48       5     
217    116    getelementptr   64     8    50       6     
218    117    load            32     2    0        30    
219    118    icmp            1      1    0        0     
220    124    load            32     32   0        0     
221    134    call            32     32   0        0     
222    135    icmp            1      1    0        0     
223    50     alloca          64     0    51       13    
224    51     alloca          64     0    50       14    
225    53     load            64     9    48       7     
226    54     getelementptr   64     7    50       7     
227    55     load            32     2    0        30    
228    56     icmp            1      1    0        0     
229    60     load            64     5    58       1     
230    61     getelementptr   64     8    55       1     
231    62     load            32     5    27       0     
232    63     sext            64     5    57       2     
233    64     load            64     8    56       0     
234    65     getelementptr   64     8    56       0     
235    66     getelementptr   64     10   54       0     
236    67     load            32     8    24       0     
237    70     load            32     9    23       0     
238    137    call            32     8    24       0     
239    139    load            32     32   0        0     
240    140    add             32     32   0        0     
241    141    getelementptr   64     14   48       2     
242    142    load            32     32   0        0     
243    143    getelementptr   64     15   49       0     
244    144    load            32     32   0        0     
245    145    call            32     0    0        32    
246    94     alloca          64     1    52       11    
247    96     load            64     5    57       2     
248    97     getelementptr   64     6    55       3     
249    98     load            32     2    30       0     
250    99     add             32     2    30       0     
251    100    srem            32     3    29       0     
252    101    load            64     12   52       0     
253    102    getelementptr   64     14   50       0     
254    104    load            64     7    57       0     
255    105    getelementptr   64     6    58       0     
256    106    load            32     2    30       0     
257    107    sub             32     2    30       0     
258    108    load            64     0    64       0     
259    109    getelementptr   64     0    64       0     
260    149    load            32     0    0        32    
261    150    icmp            1      0    0        1     
262    152    load            32     0    22       10    
263    153    sext            64     0    52       12    
264    154    load            32     2    24       6     
265    155    sext            64     2    53       9     
266    156    getelementptr   64     0    51       13    
267    157    getelementptr   64     0    51       13    
268    158    load            32     1    0        31    
269    159    icmp            1      1    0        0     
270    165    load            32     0    21       11    
271    166    add             32     0    21       11    
272    149    load            32     0    0        32    
273    150    icmp            1      0    0        1     
274    152    load            32     0    22       10    
275    153    sext            64     0    52       12    
276    154    load            32     1    24       7     
277    155    sext            64     1    53       10    
278    156    getelementptr   64     0    51       13    
279    157    getelementptr   64     0    51       13    
280    158    load            32     1    0        31    
281    159    icmp            1      1    0        0     
282    165    load            32     0    21       11    
283    166    add             32     0    21       11    
284    149    load            32     0    0        32    
285    150    icmp            1      0    0        1     
286    152    load            32     0    22       10    
287    153    sext            64     0    52       12    
288    154    load            32     0    24       8     
289    155    sext            64     0    53       11    
290    156    getelementptr   64     0    51       13    
291    157    getelementptr   64     1    51       12    
292    158    load            32     1    0        31    
293    159    icmp            1      1    0        0     
294    165    load            32     0    21       11    
295    166    add             32     0    21       11    
296    149    load            32     0    0        32    
297    150    icmp            1      0    0        1     
298    152    load            32     0    22       10    
299    153    sext            64     0    51       13    
300    154    load            32     0    23       9     
301    155    sext            64     0    53       11    
