cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      130    store           32     0    0        32    
1      131    call            64     7    57       0     
2      1      store           64     5    59       0     
3      4      store           32     1    31       0     
4      7      store           32     0    32       0     
5      10     store           32     1    31       0     
6      132    call            64     14   50       0     
7      14     store           64     15   49       0     
8      15     store           32     8    24       0     
9      20     br              1      1    0        0     
10     31     store           32     0    32       0     
11     40     store           32     8    24       0     
12     47     store           32     2    30       0     
13     134    call            64     8    48       8     
14     114    store           64     9    46       9     
15     119    br              1      1    0        0     
16     122    store           32     32   0        0     
17     125    ret             32     32   0        0     
18     136    br              1      1    0        0     
19     137    call            64     0    64       0     
20     52     store           64     0    63       1     
21     57     br              1      0    1        0     
22     68     store           32     8    24       0     
23     71     ret             32     8    24       0     
24     138    store           32     8    24       0     
25     145    call            64     13   50       1     
26     146    call            64     12   52       0     
27     95     store           64     11   53       0     
28     103    store           32     1    31       0     
29     110    store           32     1    31       0     
30     147    store           32     9    21       2     
31     151    br              1      1    0        0     
32     160    br              1      1    0        0     
33     167    store           32     9    21       2     
34     151    br              1      1    0        0     
35     160    br              1      1    0        0     
36     167    store           32     10   21       1     
37     151    br              1      1    0        0     
38     160    br              1      1    0        0     
39     162    call            64     13   51       0     
40     14     store           64     13   51       0     
41     15     store           32     8    24       0     
42     20     br              1      1    0        0     
43     31     store           32     0    32       0     
44     40     store           32     8    24       0     
45     47     store           32     2    30       0     
46     167    store           32     11   21       0     
47     151    br              1      1    0        0     
48     160    br              1      1    0        0     
49     162    call            64     11   53       0     
50     14     store           64     14   50       0     
51     15     store           32     8    24       0     
52     20     br              1      1    0        0     
53     31     store           32     0    32       0     
54     40     store           32     8    24       0     
55     47     store           32     2    30       0     
56     167    store           32     9    21       2     
57     151    br              1      0    0        1     
58     160    br              1      1    0        0     
59     167    store           32     9    21       2     
60     151    br              1      0    0        1     
61     160    br              1      1    0        0     
62     167    store           32     0    1        31    
63     151    br              1      0    0        1     
64     134    call            64     11   49       4     
65     114    store           64     11   49       4     
66     119    br              1      1    0        0     
67     122    store           32     32   0        0     
68     125    ret             32     32   0        0     
69     136    br              1      1    0        0     
70     137    call            64     0    64       0     
71     52     store           64     1    63       0     
72     57     br              1      0    1        0     
73     68     store           32     8    24       0     
74     71     ret             32     8    24       0     
75     138    store           32     8    24       0     
76     145    call            64     13   50       1     
77     146    call            64     14   50       0     
78     95     store           64     15   49       0     
79     103    store           32     3    29       0     
80     110    store           32     2    30       0     
81     147    store           32     0    21       11    
82     151    br              1      0    0        1     
83     160    br              1      1    0        0     
84     167    store           32     0    21       11    
85     151    br              1      0    0        1     
86     160    br              1      1    0        0     
87     167    store           32     0    21       11    
88     151    br              1      0    0        1     
89     160    br              1      1    0        0     
90     167    store           32     0    21       11    
91     151    br              1      0    0        1     
92     160    br              1      1    0        0     
93     167    store           32     0    21       11    
94     151    br              1      0    0        1     
95     160    br              1      1    0        0     
96     167    store           32     0    21       11    
97     151    br              1      0    0        1     
98     160    br              1      1    0        0     
99     167    store           32     0    1        31    
100    151    br              1      1    0        0     
101    134    call            64     6    49       9     
102    114    store           64     8    47       9     
103    119    br              1      1    0        0     
104    122    store           32     32   0        0     
105    125    ret             32     32   0        0     
106    136    br              1      1    0        0     
107    137    call            64     1    63       0     
108    52     store           64     1    63       0     
109    57     br              1      0    1        0     
110    68     store           32     8    24       0     
111    71     ret             32     8    24       0     
112    138    store           32     8    24       0     
113    145    call            64     13   50       1     
114    146    call            64     12   52       0     
115    95     store           64     13   51       0     
116    103    store           32     2    30       0     
117    110    store           32     1    31       0     
118    147    store           32     3    21       8     
119    151    br              1      1    0        0     
120    160    br              1      1    0        0     
121    162    call            64     15   49       0     
122    14     store           64     14   50       0     
123    15     store           32     8    24       0     
124    20     br              1      1    0        0     
125    31     store           32     0    32       0     
126    40     store           32     9    23       0     
127    47     store           32     2    30       0     
128    167    store           32     9    21       2     
129    151    br              1      0    0        1     
130    160    br              1      1    0        0     
131    167    store           32     8    21       3     
132    151    br              1      0    0        1     
133    160    br              1      1    0        0     
134    167    store           32     8    21       3     
135    151    br              1      0    0        1     
136    160    br              1      1    0        0     
137    167    store           32     8    21       3     
138    151    br              1      0    0        1     
139    160    br              1      1    0        0     
140    167    store           32     7    21       4     
141    151    br              1      0    0        1     
142    160    br              1      1    0        0     
143    167    store           32     0    1        31    
144    151    br              1      1    0        0     
145    134    call            64     6    49       9     
146    114    store           64     7    51       6     
147    119    br              1      1    0        0     
148    122    store           32     32   0        0     
149    125    ret             32     32   0        0     
150    136    br              1      1    0        0     
151    137    call            64     2    62       0     
152    52     store           64     2    62       0     
153    57     br              1      0    1        0     
154    68     store           32     8    24       0     
155    71     ret             32     8    24       0     
