cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      230    alloca          64     14   50       0     
1      231    alloca          64     12   52       0     
2      0      alloca          64     9    55       0     
3      1      alloca          64     10   54       0     
4      3      call            64     0    64       0     
5      4      bitcast         64     0    64       0     
6      5      load            64     0    64       0     
7      6      getelementptr   64     0    64       0     
8      8      load            64     0    64       0     
9      9      getelementptr   64     0    64       0     
10     13     load            32     32   0        0     
11     14     load            64     16   48       0     
12     15     getelementptr   64     15   49       0     
13     16     load            32     32   0        0     
14     17     icmp            1      1    0        0     
15     19     call            32     32   0        0     
16     20     srem            32     32   0        0     
17     21     load            32     15   17       0     
18     22     sext            64     17   47       0     
19     23     load            64     2    62       0     
20     24     getelementptr   64     2    62       0     
21     25     load            64     15   49       0     
22     26     getelementptr   64     15   49       0     
23     29     load            32     31   1        0     
24     30     add             32     31   1        0     
25     13     load            32     32   0        0     
26     14     load            64     17   47       0     
27     15     getelementptr   64     15   49       0     
28     16     load            32     32   0        0     
29     17     icmp            1      1    0        0     
30     19     call            32     32   0        0     
31     20     srem            32     32   0        0     
32     21     load            32     15   17       0     
33     22     sext            64     17   47       0     
34     23     load            64     2    62       0     
35     24     getelementptr   64     3    61       0     
36     25     load            64     14   50       0     
37     26     getelementptr   64     15   49       0     
38     29     load            32     31   1        0     
39     30     add             32     31   1        0     
40     13     load            32     32   0        0     
41     14     load            64     17   47       0     
42     15     getelementptr   64     17   47       0     
43     16     load            32     32   0        0     
44     17     icmp            1      1    0        0     
45     19     call            32     32   0        0     
46     20     srem            32     32   0        0     
47     21     load            32     15   17       0     
48     22     sext            64     17   47       0     
49     23     load            64     2    62       0     
50     24     getelementptr   64     3    61       0     
51     25     load            64     15   49       0     
52     26     getelementptr   64     14   50       0     
53     29     load            32     31   1        0     
54     30     add             32     31   1        0     
55     13     load            32     32   0        0     
56     14     load            64     15   49       0     
57     15     getelementptr   64     16   48       0     
58     16     load            32     32   0        0     
59     17     icmp            1      1    0        0     
60     19     call            32     32   0        0     
61     20     srem            32     32   0        0     
62     21     load            32     15   17       0     
63     22     sext            64     17   47       0     
64     23     load            64     3    61       0     
65     24     getelementptr   64     3    61       0     
66     25     load            64     15   49       0     
67     26     getelementptr   64     15   49       0     
68     29     load            32     31   1        0     
69     30     add             32     31   1        0     
70     13     load            32     32   0        0     
71     14     load            64     15   49       0     
72     15     getelementptr   64     16   48       0     
73     16     load            32     32   0        0     
74     17     icmp            1      1    0        0     
75     19     call            32     32   0        0     
76     20     srem            32     32   0        0     
77     21     load            32     15   17       0     
78     22     sext            64     17   47       0     
79     23     load            64     3    61       0     
80     24     getelementptr   64     3    61       0     
81     25     load            64     16   48       0     
82     26     getelementptr   64     17   47       0     
83     29     load            32     31   1        0     
84     30     add             32     31   1        0     
85     13     load            32     32   0        0     
86     14     load            64     15   49       0     
87     15     getelementptr   64     16   48       0     
88     16     load            32     32   0        0     
89     17     icmp            1      1    0        0     
90     19     call            32     32   0        0     
91     20     srem            32     32   0        0     
92     21     load            32     15   17       0     
93     22     sext            64     17   47       0     
94     23     load            64     3    61       0     
95     24     getelementptr   64     3    61       0     
96     25     load            64     17   47       0     
97     26     getelementptr   64     15   49       0     
98     29     load            32     31   1        0     
99     30     add             32     31   1        0     
100    13     load            32     32   0        0     
101    14     load            64     15   49       0     
102    15     getelementptr   64     16   48       0     
103    16     load            32     32   0        0     
104    17     icmp            1      1    0        0     
105    19     call            32     32   0        0     
106    20     srem            32     32   0        0     
107    21     load            32     15   17       0     
108    22     sext            64     17   47       0     
109    23     load            64     3    61       0     
110    24     getelementptr   64     3    61       0     
111    25     load            64     13   51       0     
112    26     getelementptr   64     11   53       0     
113    29     load            32     31   1        0     
114    30     add             32     31   1        0     
115    13     load            32     32   0        0     
116    14     load            64     17   47       0     
117    15     getelementptr   64     18   46       0     
118    16     load            32     32   0        0     
119    17     icmp            1      1    0        0     
120    19     call            32     32   0        0     
121    20     srem            32     32   0        0     
122    21     load            32     14   18       0     
123    22     sext            64     16   48       0     
124    23     load            64     3    61       0     
125    24     getelementptr   64     3    61       0     
126    25     load            64     13   51       0     
127    26     getelementptr   64     13   51       0     
128    29     load            32     31   1        0     
129    30     add             32     31   1        0     
130    13     load            32     32   0        0     
131    14     load            64     16   48       0     
132    15     getelementptr   64     16   48       0     
133    16     load            32     32   0        0     
134    17     icmp            1      1    0        0     
135    19     call            32     32   0        0     
136    20     srem            32     32   0        0     
137    21     load            32     15   17       0     
138    22     sext            64     17   47       0     
139    23     load            64     3    61       0     
140    24     getelementptr   64     3    61       0     
141    25     load            64     15   49       0     
142    26     getelementptr   64     14   50       0     
143    29     load            32     31   1        0     
144    30     add             32     31   1        0     
145    13     load            32     32   0        0     
146    14     load            64     17   47       0     
147    15     getelementptr   64     17   47       0     
148    16     load            32     32   0        0     
149    17     icmp            1      1    0        0     
150    19     call            32     32   0        0     
151    20     srem            32     32   0        0     
152    21     load            32     15   17       0     
153    22     sext            64     17   47       0     
154    23     load            64     3    61       0     
155    24     getelementptr   64     3    61       0     
156    25     load            64     14   50       0     
157    26     getelementptr   64     15   49       0     
158    29     load            32     31   1        0     
159    30     add             32     31   1        0     
160    13     load            32     32   0        0     
161    14     load            64     16   48       0     
162    15     getelementptr   64     16   48       0     
163    16     load            32     32   0        0     
164    17     icmp            1      1    0        0     
165    19     call            32     32   0        0     
166    20     srem            32     32   0        0     
167    21     load            32     15   17       0     
168    22     sext            64     17   47       0     
169    23     load            64     3    61       0     
170    24     getelementptr   64     3    61       0     
171    25     load            64     13   51       0     
172    26     getelementptr   64     14   50       0     
173    29     load            32     31   1        0     
174    30     add             32     31   1        0     
175    13     load            32     32   0        0     
176    14     load            64     16   48       0     
177    15     getelementptr   64     16   48       0     
178    16     load            32     32   0        0     
179    17     icmp            1      1    0        0     
180    19     call            32     32   0        0     
181    20     srem            32     32   0        0     
182    21     load            32     15   17       0     
183    22     sext            64     17   47       0     
184    23     load            64     3    61       0     
185    24     getelementptr   64     3    61       0     
186    25     load            64     17   47       0     
187    26     getelementptr   64     13   51       0     
188    29     load            32     31   1        0     
189    30     add             32     31   1        0     
190    13     load            32     32   0        0     
191    14     load            64     15   49       0     
192    15     getelementptr   64     14   50       0     
193    16     load            32     32   0        0     
194    17     icmp            1      1    0        0     
195    19     call            32     32   0        0     
196    20     srem            32     32   0        0     
197    21     load            32     15   17       0     
198    22     sext            64     17   47       0     
199    23     load            64     2    62       0     
200    24     getelementptr   64     2    62       0     
201    25     load            64     12   52       0     
202    26     getelementptr   64     15   49       0     
203    29     load            32     31   1        0     
204    30     add             32     31   1        0     
205    13     load            32     32   0        0     
206    14     load            64     16   48       0     
207    15     getelementptr   64     16   48       0     
208    16     load            32     32   0        0     
209    17     icmp            1      1    0        0     
210    19     call            32     32   0        0     
211    20     srem            32     32   0        0     
212    21     load            32     15   17       0     
213    22     sext            64     17   47       0     
214    23     load            64     3    61       0     
215    24     getelementptr   64     3    61       0     
216    25     load            64     14   50       0     
217    26     getelementptr   64     13   51       0     
218    29     load            32     31   1        0     
219    30     add             32     31   1        0     
220    13     load            32     32   0        0     
221    14     load            64     15   49       0     
222    15     getelementptr   64     15   49       0     
223    16     load            32     32   0        0     
224    17     icmp            1      1    0        0     
225    19     call            32     32   0        0     
226    20     srem            32     32   0        0     
227    21     load            32     15   17       0     
228    22     sext            64     17   47       0     
229    23     load            64     3    61       0     
230    24     getelementptr   64     3    61       0     
231    25     load            64     12   52       0     
232    26     getelementptr   64     14   50       0     
233    29     load            32     31   1        0     
234    30     add             32     31   1        0     
235    13     load            32     32   0        0     
236    14     load            64     16   48       0     
237    15     getelementptr   64     15   49       0     
238    16     load            32     32   0        0     
239    17     icmp            1      1    0        0     
240    19     call            32     32   0        0     
241    20     srem            32     32   0        0     
242    21     load            32     15   17       0     
243    22     sext            64     17   47       0     
244    23     load            64     3    61       0     
245    24     getelementptr   64     3    61       0     
246    25     load            64     13   51       0     
247    26     getelementptr   64     11   53       0     
248    29     load            32     31   1        0     
249    30     add             32     31   1        0     
250    13     load            32     32   0        0     
251    14     load            64     16   48       0     
252    15     getelementptr   64     14   50       0     
253    16     load            32     32   0        0     
254    17     icmp            1      1    0        0     
255    19     call            32     32   0        0     
256    20     srem            32     32   0        0     
257    21     load            32     15   17       0     
258    22     sext            64     17   47       0     
259    23     load            64     3    61       0     
260    24     getelementptr   64     3    61       0     
261    25     load            64     15   49       0     
262    26     getelementptr   64     14   50       0     
263    29     load            32     31   1        0     
264    30     add             32     31   1        0     
265    13     load            32     32   0        0     
266    14     load            64     15   49       0     
267    15     getelementptr   64     16   48       0     
268    16     load            32     32   0        0     
269    17     icmp            1      1    0        0     
270    19     call            32     32   0        0     
271    20     srem            32     32   0        0     
272    21     load            32     15   17       0     
273    22     sext            64     17   47       0     
274    23     load            64     3    61       0     
275    24     getelementptr   64     3    61       0     
276    25     load            64     13   51       0     
277    26     getelementptr   64     15   49       0     
278    29     load            32     31   1        0     
279    30     add             32     31   1        0     
280    13     load            32     32   0        0     
281    14     load            64     15   49       0     
282    15     getelementptr   64     16   48       0     
283    16     load            32     32   0        0     
284    17     icmp            1      1    0        0     
285    19     call            32     32   0        0     
286    20     srem            32     32   0        0     
287    21     load            32     15   17       0     
288    22     sext            64     17   47       0     
289    23     load            64     3    61       0     
290    24     getelementptr   64     3    61       0     
291    25     load            64     16   48       0     
292    26     getelementptr   64     13   51       0     
293    29     load            32     31   1        0     
294    30     add             32     31   1        0     
295    13     load            32     32   0        0     
296    14     load            64     17   47       0     
297    15     getelementptr   64     17   47       0     
298    16     load            32     32   0        0     
299    17     icmp            1      1    0        0     
300    19     call            32     32   0        0     
301    20     srem            32     32   0        0     
302    21     load            32     14   18       0     
303    22     sext            64     16   48       0     
304    23     load            64     3    61       0     
305    24     getelementptr   64     3    61       0     
306    25     load            64     14   50       0     
307    26     getelementptr   64     15   49       0     
308    29     load            32     31   1        0     
309    30     add             32     31   1        0     
310    13     load            32     32   0        0     
311    14     load            64     15   49       0     
312    15     getelementptr   64     16   48       0     
313    16     load            32     32   0        0     
314    17     icmp            1      1    0        0     
315    33     call            32     32   0        0     
316    203    alloca          64     8    56       0     
317    204    alloca          64     10   54       0     
318    206    call            32     32   0        0     
319    209    load            32     32   0        0     
320    210    load            64     16   48       0     
321    211    getelementptr   64     16   48       0     
322    212    load            32     32   0        0     
323    213    icmp            1      1    0        0     
324    215    load            32     15   17       0     
325    216    sext            64     17   47       0     
326    217    load            64     5    59       0     
327    218    getelementptr   64     5    59       0     
328    219    load            64     16   48       0     
329    220    getelementptr   64     14   50       0     
330    221    load            32     32   0        0     
331    222    call            32     32   0        0     
332    224    load            32     31   1        0     
333    225    add             32     31   1        0     
334    209    load            32     32   0        0     
335    210    load            64     14   50       0     
336    211    getelementptr   64     16   48       0     
337    212    load            32     32   0        0     
338    213    icmp            1      1    0        0     
339    215    load            32     15   17       0     
340    216    sext            64     17   47       0     
341    217    load            64     6    58       0     
342    218    getelementptr   64     6    58       0     
343    219    load            64     17   47       0     
344    220    getelementptr   64     15   49       0     
345    221    load            32     32   0        0     
346    222    call            32     32   0        0     
347    224    load            32     31   1        0     
348    225    add             32     31   1        0     
349    209    load            32     32   0        0     
350    210    load            64     15   49       0     
351    211    getelementptr   64     16   48       0     
352    212    load            32     32   0        0     
353    213    icmp            1      1    0        0     
354    215    load            32     15   17       0     
355    216    sext            64     17   47       0     
356    217    load            64     6    58       0     
357    218    getelementptr   64     5    59       0     
358    219    load            64     15   49       0     
359    220    getelementptr   64     14   50       0     
360    221    load            32     32   0        0     
361    222    call            32     32   0        0     
362    224    load            32     31   1        0     
363    225    add             32     31   1        0     
364    209    load            32     32   0        0     
365    210    load            64     16   48       0     
366    211    getelementptr   64     15   49       0     
367    212    load            32     32   0        0     
368    213    icmp            1      1    0        0     
369    215    load            32     15   17       0     
370    216    sext            64     17   47       0     
371    217    load            64     6    58       0     
372    218    getelementptr   64     6    58       0     
373    219    load            64     15   49       0     
374    220    getelementptr   64     16   48       0     
375    221    load            32     32   0        0     
376    222    call            32     32   0        0     
377    224    load            32     31   1        0     
378    225    add             32     31   1        0     
379    209    load            32     32   0        0     
380    210    load            64     15   49       0     
381    211    getelementptr   64     14   50       0     
382    212    load            32     32   0        0     
383    213    icmp            1      1    0        0     
384    215    load            32     15   17       0     
385    216    sext            64     17   47       0     
386    217    load            64     6    58       0     
387    218    getelementptr   64     6    58       0     
388    219    load            64     16   48       0     
389    220    getelementptr   64     16   48       0     
390    221    load            32     32   0        0     
391    222    call            32     32   0        0     
392    224    load            32     31   1        0     
393    225    add             32     31   1        0     
394    209    load            32     32   0        0     
395    210    load            64     17   47       0     
396    211    getelementptr   64     16   48       0     
397    212    load            32     32   0        0     
398    213    icmp            1      1    0        0     
399    215    load            32     15   17       0     
400    216    sext            64     17   47       0     
401    217    load            64     6    58       0     
402    218    getelementptr   64     5    59       0     
403    219    load            64     15   49       0     
404    220    getelementptr   64     14   50       0     
405    221    load            32     32   0        0     
406    222    call            32     32   0        0     
407    224    load            32     31   1        0     
408    225    add             32     31   1        0     
409    209    load            32     32   0        0     
410    210    load            64     17   47       0     
411    211    getelementptr   64     16   48       0     
412    212    load            32     32   0        0     
413    213    icmp            1      1    0        0     
414    215    load            32     15   17       0     
415    216    sext            64     17   47       0     
416    217    load            64     5    59       0     
417    218    getelementptr   64     6    58       0     
418    219    load            64     14   50       0     
419    220    getelementptr   64     16   48       0     
420    221    load            32     32   0        0     
421    222    call            32     32   0        0     
422    224    load            32     31   1        0     
423    225    add             32     31   1        0     
424    209    load            32     32   0        0     
425    210    load            64     16   48       0     
426    211    getelementptr   64     15   49       0     
427    212    load            32     32   0        0     
428    213    icmp            1      1    0        0     
429    215    load            32     15   17       0     
430    216    sext            64     17   47       0     
431    217    load            64     6    58       0     
432    218    getelementptr   64     6    58       0     
433    219    load            64     16   48       0     
434    220    getelementptr   64     15   49       0     
435    221    load            32     32   0        0     
436    222    call            32     32   0        0     
437    224    load            32     31   1        0     
438    225    add             32     31   1        0     
439    209    load            32     32   0        0     
440    210    load            64     17   47       0     
441    211    getelementptr   64     16   48       0     
442    212    load            32     32   0        0     
443    213    icmp            1      1    0        0     
444    215    load            32     15   17       0     
445    216    sext            64     17   47       0     
446    217    load            64     6    58       0     
447    218    getelementptr   64     6    58       0     
448    219    load            64     13   51       0     
449    220    getelementptr   64     16   48       0     
450    221    load            32     32   0        0     
451    222    call            32     32   0        0     
452    224    load            32     31   1        0     
453    225    add             32     31   1        0     
454    209    load            32     32   0        0     
455    210    load            64     16   48       0     
456    211    getelementptr   64     15   49       0     
457    212    load            32     32   0        0     
458    213    icmp            1      1    0        0     
459    215    load            32     15   17       0     
460    216    sext            64     17   47       0     
461    217    load            64     5    59       0     
462    218    getelementptr   64     6    58       0     
463    219    load            64     14   50       0     
464    220    getelementptr   64     16   48       0     
465    221    load            32     32   0        0     
466    222    call            32     32   0        0     
467    224    load            32     31   1        0     
468    225    add             32     31   1        0     
469    209    load            32     32   0        0     
470    210    load            64     15   49       0     
471    211    getelementptr   64     13   51       0     
472    212    load            32     32   0        0     
473    213    icmp            1      1    0        0     
474    215    load            32     15   17       0     
475    216    sext            64     17   47       0     
476    217    load            64     5    59       0     
477    218    getelementptr   64     6    58       0     
478    219    load            64     14   50       0     
479    220    getelementptr   64     15   49       0     
480    221    load            32     32   0        0     
481    222    call            32     32   0        0     
482    224    load            32     31   1        0     
483    225    add             32     31   1        0     
484    209    load            32     32   0        0     
485    210    load            64     16   48       0     
486    211    getelementptr   64     15   49       0     
487    212    load            32     32   0        0     
488    213    icmp            1      1    0        0     
489    215    load            32     15   17       0     
490    216    sext            64     17   47       0     
491    217    load            64     6    58       0     
492    218    getelementptr   64     5    59       0     
493    219    load            64     15   49       0     
494    220    getelementptr   64     15   49       0     
495    221    load            32     32   0        0     
496    222    call            32     32   0        0     
497    224    load            32     31   1        0     
498    225    add             32     31   1        0     
499    209    load            32     32   0        0     
500    210    load            64     14   50       0     
501    211    getelementptr   64     16   48       0     
502    212    load            32     32   0        0     
503    213    icmp            1      1    0        0     
504    215    load            32     15   17       0     
505    216    sext            64     17   47       0     
506    217    load            64     5    59       0     
507    218    getelementptr   64     5    59       0     
508    219    load            64     15   49       0     
509    220    getelementptr   64     14   50       0     
510    221    load            32     32   0        0     
511    222    call            32     32   0        0     
512    224    load            32     31   1        0     
513    225    add             32     31   1        0     
514    209    load            32     32   0        0     
515    210    load            64     16   48       0     
516    211    getelementptr   64     14   50       0     
517    212    load            32     32   0        0     
518    213    icmp            1      1    0        0     
519    215    load            32     15   17       0     
520    216    sext            64     17   47       0     
521    217    load            64     5    59       0     
522    218    getelementptr   64     5    59       0     
523    219    load            64     15   49       0     
524    220    getelementptr   64     14   50       0     
525    221    load            32     32   0        0     
526    222    call            32     32   0        0     
527    224    load            32     31   1        0     
528    225    add             32     31   1        0     
529    209    load            32     32   0        0     
530    210    load            64     15   49       0     
531    211    getelementptr   64     17   47       0     
532    212    load            32     32   0        0     
533    213    icmp            1      1    0        0     
534    215    load            32     15   17       0     
535    216    sext            64     17   47       0     
536    217    load            64     6    58       0     
537    218    getelementptr   64     6    58       0     
538    219    load            64     15   49       0     
539    220    getelementptr   64     15   49       0     
540    221    load            32     32   0        0     
541    222    call            32     32   0        0     
542    224    load            32     31   1        0     
543    225    add             32     31   1        0     
544    209    load            32     32   0        0     
545    210    load            64     15   49       0     
546    211    getelementptr   64     15   49       0     
547    212    load            32     32   0        0     
548    213    icmp            1      1    0        0     
549    215    load            32     15   17       0     
550    216    sext            64     17   47       0     
551    217    load            64     6    58       0     
552    218    getelementptr   64     5    59       0     
553    219    load            64     15   49       0     
554    220    getelementptr   64     15   49       0     
555    221    load            32     32   0        0     
