cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      368    alloca          64     0    50       14    
1      369    alloca          64     0    48       16    
2      370    alloca          64     0    50       14    
3      371    alloca          64     0    52       12    
4      372    alloca          64     0    53       11    
5      373    alloca          64     1    51       12    
6      374    alloca          64     0    47       17    
7      375    alloca          64     0    49       15    
8      381    load            32     0    20       12    
9      382    sext            64     0    52       12    
10     383    getelementptr   64     0    51       13    
11     384    load            8      1    0        7     
12     385    sext            32     1    0        31    
13     386    icmp            1      1    0        0     
14     388    load            32     12   20       0     
15     389    sext            64     12   52       0     
16     390    getelementptr   64     13   51       0     
17     391    load            8      8    0        0     
18     392    sext            32     8    0        24    
19     393    call            32     0    0        32    
20     395    load            32     5    27       0     
21     396    add             32     5    27       0     
22     381    load            32     0    20       12    
23     382    sext            64     0    52       12    
24     383    getelementptr   64     0    51       13    
25     384    load            8      0    0        8     
26     385    sext            32     0    0        32    
27     386    icmp            1      1    0        0     
28     388    load            32     11   20       1     
29     389    sext            64     11   52       1     
30     390    getelementptr   64     12   51       1     
31     391    load            8      8    0        0     
32     392    sext            32     8    0        24    
33     393    call            32     0    0        32    
34     395    load            32     5    27       0     
35     396    add             32     5    27       0     
36     381    load            32     0    20       12    
37     382    sext            64     0    52       12    
38     383    getelementptr   64     1    50       13    
39     384    load            8      1    0        7     
40     385    sext            32     1    0        31    
41     386    icmp            1      1    0        0     
42     388    load            32     12   20       0     
43     389    sext            64     12   52       0     
44     390    getelementptr   64     13   51       0     
45     391    load            8      8    0        0     
46     392    sext            32     8    0        24    
47     393    call            32     0    0        32    
48     395    load            32     5    27       0     
49     396    add             32     5    27       0     
50     381    load            32     0    20       12    
51     382    sext            64     0    52       12    
52     383    getelementptr   64     0    51       13    
53     384    load            8      0    0        8     
54     385    sext            32     0    0        32    
55     386    icmp            1      1    0        0     
56     388    load            32     10   20       2     
57     389    sext            64     10   52       2     
58     390    getelementptr   64     11   51       2     
59     391    load            8      8    0        0     
60     392    sext            32     8    0        24    
61     393    call            32     0    0        32    
62     395    load            32     5    27       0     
63     396    add             32     5    27       0     
64     381    load            32     0    20       12    
65     382    sext            64     0    52       12    
66     383    getelementptr   64     0    51       13    
67     384    load            8      1    0        7     
68     385    sext            32     1    0        31    
69     386    icmp            1      1    0        0     
70     388    load            32     12   20       0     
71     389    sext            64     12   52       0     
72     390    getelementptr   64     13   51       0     
73     391    load            8      8    0        0     
74     392    sext            32     8    0        24    
75     393    call            32     0    0        32    
76     395    load            32     5    27       0     
77     396    add             32     5    27       0     
78     381    load            32     1    20       11    
79     382    sext            64     1    52       11    
80     383    getelementptr   64     0    51       13    
81     384    load            8      0    0        8     
82     385    sext            32     0    0        32    
83     386    icmp            1      1    0        0     
84     388    load            32     12   20       0     
85     389    sext            64     12   52       0     
86     390    getelementptr   64     13   51       0     
87     391    load            8      8    0        0     
88     392    sext            32     8    0        24    
89     393    call            32     0    0        32    
90     395    load            32     4    28       0     
91     396    add             32     4    28       0     
92     381    load            32     0    20       12    
93     382    sext            64     0    51       13    
94     383    getelementptr   64     0    51       13    
95     384    load            8      0    0        8     
96     385    sext            32     0    0        32    
97     386    icmp            1      1    0        0     
98     388    load            32     12   20       0     
99     389    sext            64     12   52       0     
100    390    getelementptr   64     13   51       0     
101    391    load            8      8    0        0     
102    392    sext            32     8    0        24    
103    393    call            32     0    0        32    
104    395    load            32     4    28       0     
105    396    add             32     4    28       0     
106    381    load            32     0    20       12    
107    382    sext            64     0    52       12    
108    383    getelementptr   64     0    51       13    
109    384    load            8      0    0        8     
110    385    sext            32     0    0        32    
111    386    icmp            1      1    0        0     
112    388    load            32     10   20       2     
113    389    sext            64     10   52       2     
114    390    getelementptr   64     11   51       2     
115    391    load            8      8    0        0     
116    392    sext            32     8    0        24    
117    393    call            32     0    0        32    
118    395    load            32     4    28       0     
119    396    add             32     4    28       0     
120    381    load            32     0    20       12    
121    382    sext            64     0    52       12    
122    383    getelementptr   64     0    51       13    
123    384    load            8      0    0        8     
124    385    sext            32     0    0        32    
125    386    icmp            1      1    0        0     
126    388    load            32     13   19       0     
127    389    sext            64     12   52       0     
128    390    getelementptr   64     13   51       0     
129    391    load            8      8    0        0     
130    392    sext            32     8    0        24    
131    393    call            32     0    0        32    
132    395    load            32     4    28       0     
133    396    add             32     4    28       0     
134    381    load            32     0    20       12    
135    382    sext            64     0    52       12    
136    383    getelementptr   64     0    51       13    
137    384    load            8      0    0        8     
138    385    sext            32     0    0        32    
139    386    icmp            1      1    0        0     
140    388    load            32     12   20       0     
141    389    sext            64     12   52       0     
142    390    getelementptr   64     13   51       0     
143    391    load            8      8    0        0     
144    392    sext            32     8    0        24    
145    393    call            32     0    0        32    
146    395    load            32     4    28       0     
147    396    add             32     4    28       0     
148    381    load            32     0    20       12    
149    382    sext            64     0    51       13    
150    383    getelementptr   64     0    51       13    
151    384    load            8      0    0        8     
152    385    sext            32     0    0        32    
153    386    icmp            1      1    0        0     
154    388    load            32     12   20       0     
155    389    sext            64     12   52       0     
156    390    getelementptr   64     13   51       0     
157    391    load            8      8    0        0     
158    392    sext            32     8    0        24    
159    393    call            32     0    0        32    
160    395    load            32     4    28       0     
161    396    add             32     4    28       0     
162    381    load            32     0    20       12    
163    382    sext            64     0    52       12    
164    383    getelementptr   64     0    51       13    
165    384    load            8      0    0        8     
166    385    sext            32     0    0        32    
167    386    icmp            1      1    0        0     
168    388    load            32     12   20       0     
169    389    sext            64     12   52       0     
170    390    getelementptr   64     13   51       0     
171    391    load            8      8    0        0     
172    392    sext            32     8    0        24    
173    393    call            32     0    0        32    
174    395    load            32     4    28       0     
175    396    add             32     4    28       0     
176    381    load            32     0    19       13    
177    382    sext            64     0    52       12    
178    383    getelementptr   64     0    51       13    
179    384    load            8      0    0        8     
180    385    sext            32     0    0        32    
181    386    icmp            1      1    0        0     
182    388    load            32     12   20       0     
183    389    sext            64     12   52       0     
184    390    getelementptr   64     13   51       0     
185    391    load            8      8    0        0     
186    392    sext            32     8    0        24    
187    393    call            32     0    0        32    
188    395    load            32     4    28       0     
189    396    add             32     4    28       0     
190    381    load            32     0    20       12    
191    382    sext            64     0    52       12    
192    383    getelementptr   64     0    51       13    
193    384    load            8      0    0        8     
194    385    sext            32     0    0        32    
195    386    icmp            1      1    0        0     
196    388    load            32     11   20       1     
197    389    sext            64     11   52       1     
198    390    getelementptr   64     12   51       1     
199    391    load            8      8    0        0     
200    392    sext            32     8    0        24    
201    393    call            32     0    0        32    
202    395    load            32     4    28       0     
203    396    add             32     4    28       0     
204    381    load            32     0    20       12    
205    382    sext            64     0    52       12    
206    383    getelementptr   64     0    51       13    
207    384    load            8      0    0        8     
208    385    sext            32     0    0        32    
209    386    icmp            1      1    0        0     
210    388    load            32     12   20       0     
211    389    sext            64     12   52       0     
212    390    getelementptr   64     13   51       0     
213    391    load            8      8    0        0     
214    392    sext            32     8    0        24    
215    393    call            32     0    0        32    
216    395    load            32     4    28       0     
217    396    add             32     4    28       0     
218    381    load            32     0    20       12    
219    382    sext            64     0    52       12    
220    383    getelementptr   64     0    50       14    
221    384    load            8      0    0        8     
222    385    sext            32     0    0        32    
223    386    icmp            1      1    0        0     
224    388    load            32     10   20       2     
225    389    sext            64     10   52       2     
226    390    getelementptr   64     11   51       2     
227    391    load            8      8    0        0     
228    392    sext            32     8    0        24    
229    393    call            32     0    0        32    
230    395    load            32     4    28       0     
231    396    add             32     4    28       0     
232    381    load            32     0    20       12    
233    382    sext            64     0    52       12    
234    383    getelementptr   64     0    51       13    
235    384    load            8      0    0        8     
236    385    sext            32     0    0        32    
237    386    icmp            1      1    0        0     
238    388    load            32     12   20       0     
239    389    sext            64     12   52       0     
240    390    getelementptr   64     13   51       0     
241    391    load            8      8    0        0     
242    392    sext            32     8    0        24    
243    393    call            32     0    0        32    
244    395    load            32     4    28       0     
245    396    add             32     4    28       0     
246    381    load            32     1    20       11    
247    382    sext            64     1    52       11    
248    383    getelementptr   64     1    50       13    
249    384    load            8      1    0        7     
250    385    sext            32     1    0        31    
251    386    icmp            1      1    0        0     
252    388    load            32     12   20       0     
253    389    sext            64     12   52       0     
254    390    getelementptr   64     13   51       0     
255    391    load            8      8    0        0     
256    392    sext            32     8    0        24    
257    393    call            32     0    0        32    
258    395    load            32     3    29       0     
259    396    add             32     3    29       0     
260    381    load            32     0    20       12    
261    382    sext            64     0    52       12    
262    383    getelementptr   64     0    51       13    
263    384    load            8      0    0        8     
264    385    sext            32     0    0        32    
265    386    icmp            1      1    0        0     
266    388    load            32     11   20       1     
267    389    sext            64     11   52       1     
268    390    getelementptr   64     12   51       1     
269    391    load            8      8    0        0     
270    392    sext            32     8    0        24    
271    393    call            32     0    0        32    
272    395    load            32     3    29       0     
273    396    add             32     3    29       0     
274    381    load            32     0    20       12    
275    382    sext            64     0    52       12    
