cycle  INDEX  BIT    OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      368    0      alloca          32     0    0        1     
0      368    1      alloca          32     0    0        1     
0      368    2      alloca          32     0    0        1     
0      368    3      alloca          32     0    0        1     
0      368    4      alloca          32     0    0        1     
0      368    5      alloca          32     0    0        1     
0      368    6      alloca          32     0    0        1     
0      368    7      alloca          32     0    0        1     
0      368    8      alloca          32     0    0        1     
0      368    9      alloca          32     0    0        1     
0      368    10     alloca          32     0    0        1     
0      368    11     alloca          32     0    0        1     
0      368    12     alloca          32     0    0        1     
0      368    13     alloca          32     0    0        1     
0      368    14     alloca          32     0    0        1     
0      368    15     alloca          32     0    0        1     
0      368    16     alloca          32     0    0        1     
0      368    17     alloca          32     0    0        1     
0      368    18     alloca          32     0    0        1     
0      368    19     alloca          32     0    0        1     
0      368    20     alloca          32     0    0        1     
0      368    21     alloca          32     0    1        0     
0      368    22     alloca          32     0    1        0     
0      368    23     alloca          32     0    1        0     
0      368    24     alloca          32     0    1        0     
0      368    25     alloca          32     0    1        0     
0      368    26     alloca          32     0    1        0     
0      368    27     alloca          32     0    1        0     
0      368    28     alloca          32     0    1        0     
0      368    29     alloca          32     0    1        0     
0      368    30     alloca          32     0    1        0     
0      368    31     alloca          32     0    1        0     
1      369    0      alloca          32     0    0        1     
1      369    1      alloca          32     0    0        1     
1      369    2      alloca          32     0    0        1     
1      369    3      alloca          32     0    0        1     
1      369    4      alloca          32     0    0        1     
1      369    5      alloca          32     0    0        1     
1      369    6      alloca          32     0    0        1     
1      369    7      alloca          32     0    0        1     
1      369    8      alloca          32     0    0        1     
1      369    9      alloca          32     0    0        1     
1      369    10     alloca          32     0    0        1     
1      369    11     alloca          32     0    0        1     
1      369    12     alloca          32     0    0        1     
1      369    13     alloca          32     0    0        1     
1      369    14     alloca          32     0    0        1     
1      369    15     alloca          32     0    0        1     
1      369    16     alloca          32     0    0        1     
1      369    17     alloca          32     0    0        1     
1      369    18     alloca          32     0    0        1     
1      369    19     alloca          32     0    0        1     
1      369    20     alloca          32     0    0        1     
1      369    21     alloca          32     0    1        0     
1      369    22     alloca          32     0    1        0     
1      369    23     alloca          32     0    1        0     
1      369    24     alloca          32     0    1        0     
1      369    25     alloca          32     0    1        0     
1      369    26     alloca          32     0    1        0     
1      369    27     alloca          32     0    1        0     
1      369    28     alloca          32     0    1        0     
1      369    29     alloca          32     0    1        0     
1      369    30     alloca          32     0    1        0     
1      369    31     alloca          32     0    1        0     
2      370    0      alloca          32     0    0        1     
2      370    1      alloca          32     0    0        1     
2      370    2      alloca          32     0    0        1     
2      370    3      alloca          32     0    0        1     
2      370    4      alloca          32     0    0        1     
