cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      368    alloca          32     0    11       21    
1      369    alloca          32     0    11       21    
2      370    alloca          32     0    12       20    
3      371    alloca          32     0    11       21    
4      372    alloca          32     0    12       20    
5      373    alloca          32     0    12       20    
6      374    alloca          32     0    12       20    
7      375    alloca          32     0    11       21    
8      376    store           32     0    0        32    
9      377    store           32     0    0        32    
10     378    store           64     0    0        64    
11     379    store           32     5    27       0     
12     381    load            64     0    58       6     
13     382    sext            32     0    20       12    
14     383    getelementptr   64     0    51       13    
15     384    load            64     0    51       13    
16     385    sext            8      1    0        7     
17     386    icmp            32     1    0        31    
18     387    br              1      1    0        0     
19     388    load            64     1    57       6     
20     389    sext            32     12   20       0     
21     390    getelementptr   64     13   51       0     
22     391    load            64     13   51       0     
23     392    sext            8      8    0        0     
24     393    call            64     14   49       1     
25     395    load            64     1    57       6     
26     396    add             32     5    27       0     
27     397    store           32     5    27       0     
28     381    load            64     0    54       10    
29     382    sext            32     0    20       12    
30     383    getelementptr   64     0    51       13    
31     384    load            64     0    51       13    
32     385    sext            8      0    0        8     
33     386    icmp            32     0    0        32    
34     387    br              1      1    0        0     
35     388    load            64     8    55       1     
36     389    sext            32     11   20       1     
37     390    getelementptr   64     12   51       1     
38     391    load            64     12   51       1     
39     392    sext            8      8    0        0     
40     393    call            64     14   49       1     
41     395    load            64     5    58       1     
42     396    add             32     5    27       0     
43     397    store           32     5    27       0     
44     381    load            64     0    54       10    
45     382    sext            32     0    20       12    
46     383    getelementptr   64     1    50       13    
47     384    load            64     1    51       12    
48     385    sext            8      1    0        7     
49     386    icmp            32     1    0        31    
50     387    br              1      1    0        0     
51     388    load            64     9    55       0     
52     389    sext            32     12   20       0     
53     390    getelementptr   64     13   51       0     
54     391    load            64     13   51       0     
55     392    sext            8      8    0        0     
56     393    call            64     14   49       1     
57     395    load            64     8    56       0     
58     396    add             32     5    27       0     
59     397    store           32     5    27       0     
60     381    load            64     0    52       12    
61     382    sext            32     0    20       12    
62     383    getelementptr   64     0    51       13    
63     384    load            64     0    51       13    
64     385    sext            8      0    0        8     
65     386    icmp            32     0    0        32    
66     387    br              1      1    0        0     
67     388    load            64     8    54       2     
68     389    sext            32     10   20       2     
69     390    getelementptr   64     12   51       1     
70     391    load            64     11   51       2     
71     392    sext            8      8    0        0     
72     393    call            64     14   49       1     
73     395    load            64     8    56       0     
74     396    add             32     5    27       0     
75     397    store           32     5    27       0     
76     381    load            64     0    56       8     
77     382    sext            32     0    20       12    
78     383    getelementptr   64     0    51       13    
79     384    load            64     0    51       13    
80     385    sext            8      1    0        7     
81     386    icmp            32     1    0        31    
82     387    br              1      1    0        0     
83     388    load            64     8    55       1     
84     389    sext            32     12   20       0     
85     390    getelementptr   64     13   51       0     
86     391    load            64     13   51       0     
87     392    sext            8      8    0        0     
88     393    call            64     15   48       1     
89     395    load            64     9    55       0     
90     396    add             32     5    27       0     
91     397    store           32     5    27       0     
92     381    load            64     0    56       8     
93     382    sext            32     1    20       11    
94     383    getelementptr   64     0    51       13    
95     384    load            64     0    51       13    
96     385    sext            8      0    0        8     
97     386    icmp            32     0    0        32    
98     387    br              1      1    0        0     
99     388    load            64     6    58       0     
