cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      0      alloca          64     0    48       16    
1      1      alloca          64     0    48       16    
2      2      alloca          64     0    50       14    
3      3      alloca          64     1    49       14    
4      4      alloca          64     4    52       8     
5      9      bitcast         64     13   51       0     
6      11     getelementptr   64     15   49       0     
7      12     load            32     3    24       5     
8      17     alloca          64     0    53       11    
9      18     alloca          64     5    52       7     
10     21     load            32     3    24       5     
11     22     sub             32     3    24       5     
12     24     load            64     14   50       0     
13     25     load            32     7    24       1     
14     122    alloca          64     0    52       12    
15     123    alloca          64     1    52       11    
16     124    alloca          64     0    52       12    
17     127    load            32     7    24       1     
18     130    load            32     2    0        30    
19     131    load            32     27   0        5     
20     132    sdiv            32     28   0        4     
21     133    icmp            1      1    0        0     
22     135    load            64     6    49       9     
23     136    load            32     9    20       3     
24     66     alloca          64     0    51       13    
25     67     alloca          64     2    50       12    
26     68     alloca          64     0    52       12    
27     72     load            32     0    0        32    
28     73     icmp            1      0    0        1     
29     75     load            32     9    19       4     
30     76     add             32     8    20       4     
31     77     sdiv            32     8    21       3     
32     78     sub             32     9    20       3     
33     80     load            32     0    20       12    
34     81     sext            64     0    51       13    
35     82     load            64     0    48       16    
36     83     getelementptr   64     0    49       15    
37     84     load            32     0    0        32    
38     85     load            32     0    20       12    
39     86     sext            64     0    50       14    
40     87     load            64     0    50       14    
41     88     getelementptr   64     0    48       16    
42     89     load            32     0    0        32    
43     90     icmp            1      0    0        1     
44     102    load            32     9    19       4     
45     72     load            32     0    0        32    
46     73     icmp            1      0    0        1     
47     75     load            32     9    19       4     
48     76     add             32     9    19       4     
49     77     sdiv            32     8    21       3     
50     78     sub             32     8    20       4     
51     80     load            32     0    21       11    
52     81     sext            64     0    50       14    
53     82     load            64     0    50       14    
54     83     getelementptr   64     0    51       13    
55     84     load            32     0    0        32    
56     85     load            32     0    20       12    
57     86     sext            64     0    50       14    
58     87     load            64     0    50       14    
59     88     getelementptr   64     0    47       17    
60     89     load            32     0    0        32    
61     90     icmp            1      0    0        1     
62     102    load            32     8    19       5     
63     72     load            32     0    0        32    
64     73     icmp            1      0    0        1     
65     75     load            32     9    19       4     
66     76     add             32     9    19       4     
67     77     sdiv            32     9    20       3     
68     78     sub             32     8    20       4     
69     80     load            32     0    20       12    
70     81     sext            64     0    50       14    
71     82     load            64     0    50       14    
72     83     getelementptr   64     0    47       17    
73     84     load            32     0    0        32    
74     85     load            32     0    21       11    
75     86     sext            64     0    50       14    
76     87     load            64     0    49       15    
77     88     getelementptr   64     0    46       18    
78     89     load            32     0    0        32    
79     90     icmp            1      0    0        1     
80     102    load            32     8    19       5     
81     72     load            32     31   0        1     
82     73     icmp            1      1    0        0     
83     137    call            32     0    0        32    
84     139    load            32     7    24       1     
85     140    add             32     7    24       1     
86     130    load            32     2    0        30    
87     131    load            32     27   0        5     
88     132    sdiv            32     28   0        4     
89     133    icmp            1      1    0        0     
90     135    load            64     3    50       11    
91     136    load            32     10   19       3     
92     66     alloca          64     0    53       11    
93     67     alloca          64     3    50       11    
94     68     alloca          64     0    54       10    
95     72     load            32     0    0        32    
96     73     icmp            1      0    0        1     
97     75     load            32     9    20       3     
98     76     add             32     10   19       3     
99     77     sdiv            32     10   20       2     
100    78     sub             32     9    20       3     
101    80     load            32     9    21       2     
102    81     sext            64     9    50       5     
103    82     load            64     11   48       5     
104    83     getelementptr   64     11   48       5     
105    84     load            32     1    0        31    
106    85     load            32     2    20       10    
107    86     sext            64     1    51       12    
108    87     load            64     7    49       8     
109    88     getelementptr   64     6    48       10    
110    89     load            32     28   0        4     
111    90     icmp            1      1    0        0     
112    102    load            32     9    19       4     
113    72     load            32     0    0        32    
114    73     icmp            1      0    0        1     
115    75     load            32     7    20       5     
116    76     add             32     9    19       4     
117    77     sdiv            32     9    20       3     
118    78     sub             32     7    21       4     
119    80     load            32     0    20       12    
120    81     sext            64     0    50       14    
121    82     load            64     0    48       16    
122    83     getelementptr   64     0    49       15    
123    84     load            32     0    0        32    
124    85     load            32     0    21       11    
125    86     sext            64     0    50       14    
126    87     load            64     0    49       15    
127    88     getelementptr   64     0    47       17    
128    89     load            32     0    0        32    
129    90     icmp            1      0    0        1     
130    92     load            32     9    20       3     
131    93     sext            64     9    50       5     
132    94     load            64     13   49       2     
133    95     getelementptr   64     11   51       2     
134    96     load            32     9    20       3     
135    97     sext            64     9    50       5     
136    98     load            64     8    52       4     
137    99     getelementptr   64     12   49       3     
138    106    alloca          64     1    51       12    
139    107    alloca          64     2    54       8     
140    108    alloca          64     3    53       8     
141    111    load            64     17   47       0     
142    112    load            32     32   0        0     
143    114    load            64     15   49       0     
144    115    load            32     32   0        0     
145    116    load            64     15   49       0     
146    118    load            32     32   0        0     
147    119    load            64     12   51       1     
148    100    call            32     0    0        32    
149    102    load            32     7    20       5     
150    72     load            32     0    0        32    
151    73     icmp            1      0    0        1     
152    75     load            32     8    20       4     
153    76     add             32     8    20       4     
154    77     sdiv            32     9    20       3     
155    78     sub             32     8    20       4     
156    80     load            32     0    21       11    
157    81     sext            64     0    51       13    
158    82     load            64     0    49       15    
159    83     getelementptr   64     0    48       16    
160    84     load            32     0    0        32    
161    85     load            32     0    21       11    
162    86     sext            64     0    51       13    
163    87     load            64     0    49       15    
164    88     getelementptr   64     0    48       16    
165    89     load            32     0    0        32    
166    90     icmp            1      0    0        1     
167    92     load            32     8    20       4     
168    93     sext            64     8    50       6     
169    94     load            64     13   48       3     
170    95     getelementptr   64     11   50       3     
171    96     load            32     8    21       3     
172    97     sext            64     8    51       5     
173    98     load            64     14   48       2     
174    99     getelementptr   64     14   48       2     
175    106    alloca          64     0    50       14    
176    107    alloca          64     2    55       7     
177    108    alloca          64     4    52       8     
178    111    load            64     14   50       0     
179    112    load            32     32   0        0     
180    114    load            64     15   48       1     
181    115    load            32     32   0        0     
182    116    load            64     15   49       0     
183    118    load            32     32   0        0     
184    119    load            64     17   46       1     
185    100    call            32     0    0        32    
186    102    load            32     7    20       5     
187    72     load            32     31   0        1     
188    73     icmp            1      1    0        0     
189    137    call            32     0    0        32    
190    139    load            32     4    24       4     
191    140    add             32     5    23       4     
192    130    load            32     0    0        32    
193    131    load            32     0    0        32    
194    132    sdiv            32     0    0        32    
195    133    icmp            1      0    0        1     
196    135    load            64     1    51       12    
197    136    load            32     8    20       4     
198    66     alloca          64     0    52       12    
199    67     alloca          64     1    50       13    
200    68     alloca          64     2    53       9     
201    72     load            32     0    0        32    
202    73     icmp            1      0    0        1     
203    75     load            32     9    19       4     
204    76     add             32     10   19       3     
205    77     sdiv            32     9    21       2     
206    78     sub             32     9    20       3     
207    80     load            32     0    20       12    
208    81     sext            64     0    51       13    
209    82     load            64     0    49       15    
210    83     getelementptr   64     0    50       14    
211    84     load            32     0    0        32    
212    85     load            32     0    21       11    
213    86     sext            64     0    50       14    
214    87     load            64     0    49       15    
215    88     getelementptr   64     0    48       16    
216    89     load            32     0    0        32    
217    90     icmp            1      0    0        1     
218    102    load            32     9    19       4     
219    72     load            32     0    0        32    
220    73     icmp            1      0    0        1     
221    75     load            32     8    19       5     
222    76     add             32     9    19       4     
223    77     sdiv            32     9    20       3     
224    78     sub             32     8    20       4     
225    80     load            32     0    21       11    
226    81     sext            64     0    50       14    
227    82     load            64     0    49       15    
228    83     getelementptr   64     0    48       16    
229    84     load            32     0    0        32    
230    85     load            32     0    20       12    
231    86     sext            64     0    50       14    
232    87     load            64     0    49       15    
233    88     getelementptr   64     0    48       16    
234    89     load            32     0    0        32    
235    90     icmp            1      0    0        1     
236    102    load            32     7    20       5     
237    72     load            32     0    0        32    
238    73     icmp            1      0    0        1     
239    75     load            32     8    20       4     
240    76     add             32     8    20       4     
241    77     sdiv            32     9    20       3     
242    78     sub             32     8    20       4     
243    80     load            32     0    20       12    
244    81     sext            64     0    51       13    
245    82     load            64     0    49       15    
246    83     getelementptr   64     0    49       15    
247    84     load            32     0    0        32    
248    85     load            32     0    21       11    
249    86     sext            64     0    50       14    
250    87     load            64     0    48       16    
251    88     getelementptr   64     0    49       15    
252    89     load            32     0    0        32    
253    90     icmp            1      0    0        1     
254    102    load            32     8    19       5     
255    72     load            32     31   0        1     
256    73     icmp            1      1    0        0     
257    137    call            32     0    0        32    
258    139    load            32     5    23       4     
259    140    add             32     4    24       4     
260    130    load            32     0    0        32    
261    131    load            32     0    0        32    
262    132    sdiv            32     0    0        32    
263    133    icmp            1      0    0        1     
264    135    load            64     2    48       14    
265    136    load            32     8    20       4     
266    66     alloca          64     1    50       13    
267    67     alloca          64     2    49       13    
268    68     alloca          64     0    54       10    
269    72     load            32     0    0        32    
270    73     icmp            1      0    0        1     
271    75     load            32     9    19       4     
272    76     add             32     8    20       4     
273    77     sdiv            32     9    20       3     
274    78     sub             32     8    21       3     
275    80     load            32     0    21       11    
276    81     sext            64     0    50       14    
277    82     load            64     0    48       16    
278    83     getelementptr   64     0    49       15    
279    84     load            32     0    0        32    
280    85     load            32     0    20       12    
281    86     sext            64     0    50       14    
282    87     load            64     0    47       17    
283    88     getelementptr   64     0    49       15    
284    89     load            32     0    0        32    
285    90     icmp            1      0    0        1     
286    102    load            32     8    20       4     
287    72     load            32     0    0        32    
288    73     icmp            1      0    0        1     
289    75     load            32     9    19       4     
290    76     add             32     8    20       4     
291    77     sdiv            32     9    20       3     
292    78     sub             32     7    21       4     
293    80     load            32     0    20       12    
294    81     sext            64     0    50       14    
295    82     load            64     0    48       16    
296    83     getelementptr   64     0    49       15    
297    84     load            32     0    0        32    
298    85     load            32     0    20       12    
299    86     sext            64     0    51       13    
300    87     load            64     0    49       15    
301    88     getelementptr   64     0    49       15    
302    89     load            32     0    0        32    
303    90     icmp            1      0    0        1     
304    102    load            32     8    19       5     
305    72     load            32     31   0        1     
306    73     icmp            1      1    0        0     
307    137    call            32     0    0        32    
308    139    load            32     5    23       4     
309    140    add             32     5    23       4     
310    130    load            32     0    0        32    
311    131    load            32     0    0        32    
312    132    sdiv            32     0    0        32    
313    133    icmp            1      0    0        1     
314    135    load            64     2    50       12    
315    136    load            32     9    19       4     
316    66     alloca          64     0    49       15    
317    67     alloca          64     3    50       11    
318    68     alloca          64     2    51       11    
319    72     load            32     0    0        32    
320    73     icmp            1      0    0        1     
321    75     load            32     9    19       4     
322    76     add             32     9    19       4     
323    77     sdiv            32     9    20       3     
324    78     sub             32     8    21       3     
325    80     load            32     0    20       12    
326    81     sext            64     0    50       14    
327    82     load            64     0    49       15    
328    83     getelementptr   64     0    48       16    
329    84     load            32     0    0        32    
330    85     load            32     0    21       11    
331    86     sext            64     0    51       13    
332    87     load            64     0    50       14    
333    88     getelementptr   64     0    49       15    
334    89     load            32     0    0        32    
335    90     icmp            1      0    0        1     
336    102    load            32     9    19       4     
337    72     load            32     0    0        32    
338    73     icmp            1      0    0        1     
339    75     load            32     9    19       4     
340    76     add             32     8    20       4     
341    77     sdiv            32     9    20       3     
342    78     sub             32     7    21       4     
343    80     load            32     8    21       3     
344    81     sext            64     9    50       5     
345    82     load            64     10   49       5     
346    83     getelementptr   64     6    50       8     
347    84     load            32     1    0        31    
348    85     load            32     4    21       7     
349    86     sext            64     4    51       9     
350    87     load            64     6    48       10    
351    88     getelementptr   64     5    48       11    
352    89     load            32     29   0        3     
353    90     icmp            1      1    0        0     
354    102    load            32     8    19       5     
355    72     load            32     31   0        1     
356    73     icmp            1      1    0        0     
357    137    call            32     0    0        32    
358    139    load            32     5    23       4     
359    140    add             32     4    24       4     
360    130    load            32     0    0        32    
361    131    load            32     0    0        32    
362    132    sdiv            32     0    0        32    
363    133    icmp            1      0    0        1     
364    135    load            64     1    51       12    
365    136    load            32     8    20       4     
366    66     alloca          64     0    51       13    
367    67     alloca          64     1    50       13    
368    68     alloca          64     2    53       9     
369    72     load            32     0    0        32    
370    73     icmp            1      0    0        1     
371    75     load            32     9    19       4     
372    76     add             32     9    19       4     
373    77     sdiv            32     9    20       3     
374    78     sub             32     8    20       4     
375    80     load            32     0    20       12    
376    81     sext            64     0    50       14    
377    82     load            64     0    49       15    
378    83     getelementptr   64     0    48       16    
379    84     load            32     0    0        32    
380    85     load            32     0    21       11    
381    86     sext            64     0    50       14    
382    87     load            64     0    48       16    
383    88     getelementptr   64     0    49       15    
384    89     load            32     0    0        32    
385    90     icmp            1      0    0        1     
386    102    load            32     8    19       5     
387    72     load            32     0    0        32    
388    73     icmp            1      0    0        1     
389    75     load            32     9    19       4     
390    76     add             32     8    20       4     
391    77     sdiv            32     9    20       3     
392    78     sub             32     8    20       4     
393    80     load            32     6    21       5     
394    81     sext            64     7    50       7     
395    82     load            64     9    47       8     
396    83     getelementptr   64     7    48       9     
397    84     load            32     2    0        30    
398    85     load            32     3    21       8     
399    86     sext            64     4    50       10    
400    87     load            64     7    49       8     
401    88     getelementptr   64     5    46       13    
402    89     load            32     30   0        2     
403    90     icmp            1      1    0        0     
404    102    load            32     7    20       5     
405    72     load            32     31   0        1     
406    73     icmp            1      1    0        0     
407    137    call            32     0    0        32    
408    139    load            32     4    24       4     
409    140    add             32     5    23       4     
410    130    load            32     0    0        32    
411    131    load            32     0    0        32    
412    132    sdiv            32     0    0        32    
413    133    icmp            1      0    0        1     
414    26     call            32     0    0        32    
415    28     load            32     1    0        31    
416    29     icmp            1      1    0        0     
417    31     load            64     17   47       0     
418    32     getelementptr   64     15   49       0     
419    33     load            32     11   21       0     
420    34     sext            64     12   50       2     
421    35     load            64     14   50       0     
422    36     getelementptr   64     14   50       0     
423    106    alloca          64     0    51       13    
424    107    alloca          64     4    52       8     
425    108    alloca          64     4    52       8     
426    111    load            64     15   49       0     
427    112    load            32     32   0        0     
428    114    load            64     18   46       0     
429    115    load            32     32   0        0     
430    116    load            64     12   52       0     
431    118    load            32     32   0        0     
432    119    load            64     14   50       0     
433    37     call            32     0    0        32    
434    38     load            64     14   50       0     
435    39     load            32     3    24       5     
436    40     add             32     2    24       6     
437    122    alloca          64     0    52       12    
438    123    alloca          64     2    49       13    
439    124    alloca          64     0    53       11    
440    127    load            32     9    23       0     
441    130    load            32     2    0        30    
442    131    load            32     27   0        5     
