cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      0      alloca          32     0    12       20    
1      1      alloca          32     0    11       21    
2      2      alloca          32     0    12       20    
3      3      alloca          32     0    11       21    
4      4      alloca          32     0    18       14    
5      5      store           32     0    0        32    
6      6      store           32     0    0        32    
7      7      store           64     0    0        64    
8      8      store           32     4    23       5     
9      9      bitcast         64     9    55       0     
10     10     call            64     12   52       0     
11     11     getelementptr   64     15   49       0     
12     12     load            64     10   54       0     
13     13     call            64     15   49       0     
14     17     alloca          32     0    12       20    
15     18     alloca          32     0    12       20    
16     19     store           64     12   52       0     
17     20     store           32     4    23       5     
18     21     load            64     10   53       1     
19     22     sub             32     4    23       5     
20     23     store           32     4    23       5     
21     24     load            64     1    62       1     
22     25     load            64     11   52       1     
23     26     call            64     12   52       0     
24     122    alloca          32     0    12       20    
25     123    alloca          32     0    12       20    
26     124    alloca          32     0    11       21    
27     125    store           64     11   53       0     
28     126    store           32     8    23       1     
29     127    load            64     11   53       0     
30     128    store           32     9    22       1     
31     130    load            64     9    50       5     
32     131    load            64     3    47       14    
33     132    sdiv            32     27   0        5     
34     133    icmp            32     2    0        30    
35     134    br              1      1    0        0     
36     135    load            64     0    64       0     
37     136    load            64     1    53       10    
38     137    call            64     5    51       8     
39     66     alloca          32     0    12       20    
40     67     alloca          32     0    12       20    
41     68     alloca          32     0    11       21    
42     69     store           64     4    50       10    
43     70     store           32     10   19       3     
44     72     load            64     0    49       15    
45     73     icmp            32     0    0        32    
46     74     br              1      0    0        1     
47     75     load            64     0    54       10    
48     76     add             32     9    19       4     
49     77     sdiv            32     8    20       4     
50     78     sub             32     8    21       3     
51     79     store           32     8    21       3     
52     80     load            64     0    53       11    
53     81     sext            32     0    20       12    
54     82     load            64     0    62       2     
55     83     getelementptr   64     0    50       14    
56     84     load            64     0    48       16    
57     85     load            64     0    51       13    
58     86     sext            32     0    19       13    
59     87     load            64     0    61       3     
60     88     getelementptr   64     0    47       17    
61     89     load            64     0    48       16    
62     90     icmp            32     0    0        32    
63     91     br              1      0    0        1     
64     102    load            64     1    52       11    
65     103    store           32     8    20       4     
66     72     load            64     0    48       16    
67     73     icmp            32     0    0        32    
68     74     br              1      0    0        1     
69     75     load            64     0    56       8     
70     76     add             32     7    20       5     
71     77     sdiv            32     7    20       5     
72     78     sub             32     8    20       4     
73     79     store           32     7    21       4     
74     80     load            64     0    53       11    
75     81     sext            32     0    21       11    
76     82     load            64     0    62       2     
77     83     getelementptr   64     0    47       17    
78     84     load            64     0    49       15    
79     85     load            64     0    53       11    
80     86     sext            32     0    20       12    
81     87     load            64     0    62       2     
82     88     getelementptr   64     0    48       16    
83     89     load            64     0    49       15    
84     90     icmp            32     0    0        32    
85     91     br              1      0    0        1     
86     102    load            64     0    53       11    
87     103    store           32     8    19       5     
88     72     load            64     0    49       15    
89     73     icmp            32     0    0        32    
90     74     br              1      0    0        1     
91     75     load            64     0    57       7     
92     76     add             32     8    19       5     
93     77     sdiv            32     8    19       5     
94     78     sub             32     8    20       4     
95     79     store           32     7    21       4     
96     80     load            64     0    55       9     
97     81     sext            32     0    20       12    
98     82     load            64     0    61       3     
99     83     getelementptr   64     0    50       14    
100    84     load            64     0    47       17    
101    85     load            64     0    52       12    
102    86     sext            32     0    21       11    
103    87     load            64     0    60       4     
104    88     getelementptr   64     0    50       14    
105    89     load            64     0    48       16    
106    90     icmp            32     0    0        32    
107    91     br              1      0    0        1     
108    102    load            64     0    52       12    
109    103    store           32     8    19       5     
110    72     load            64     0    49       15    
111    73     icmp            32     0    0        32    
112    74     br              1      0    0        1     
113    105    ret             32     0    0        32    
114    139    load            64     9    54       1     
115    140    add             32     8    23       1     
116    141    store           32     8    23       1     
117    130    load            64     11   48       5     
118    131    load            64     5    49       10    
119    132    sdiv            32     27   0        5     
120    133    icmp            32     2    0        30    
121    134    br              1      1    0        0     
122    135    load            64     0    64       0     
123    136    load            64     0    55       9     
124    137    call            64     3    47       14    
125    66     alloca          32     0    12       20    
126    67     alloca          32     0    12       20    
