cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      25     alloca          64     0    45       19    
1      26     alloca          64     0    46       18    
2      27     alloca          64     0    50       14    
3      28     alloca          64     2    47       15    
4      29     alloca          64     0    49       15    
5      30     alloca          64     3    43       18    
6      31     alloca          64     6    50       8     
7      36     load            32     0    2        30    
8      37     icmp            1      0    1        0     
9      43     load            64     1    63       0     
10     44     getelementptr   64     0    64       0     
11     45     load            64     0    64       0     
12     46     call            64     2    62       0     
13     49     load            64     2    62       0     
14     50     load            32     16   16       0     
15     51     sext            64     16   41       7     
16     52     getelementptr   64     21   43       0     
17     53     getelementptr   64     19   45       0     
18     54     call            32     32   0        0     
19     55     icmp            1      1    0        0     
20     57     load            32     15   0        17    
21     58     icmp            1      1    0        0     
22     60     phi             1      1    0        0     
23     62     load            32     16   16       0     
24     63     add             32     16   16       0     
25     49     load            64     3    61       0     
26     50     load            32     16   16       0     
27     51     sext            64     16   41       7     
28     52     getelementptr   64     21   43       0     
29     53     getelementptr   64     21   43       0     
30     54     call            32     32   0        0     
31     55     icmp            1      1    0        0     
32     57     load            32     15   0        17    
33     58     icmp            1      1    0        0     
34     60     phi             1      1    0        0     
35     62     load            32     16   16       0     
36     63     add             32     16   16       0     
37     49     load            64     3    61       0     
38     50     load            32     16   16       0     
39     51     sext            64     16   41       7     
40     52     getelementptr   64     22   42       0     
41     53     getelementptr   64     20   44       0     
42     54     call            32     32   0        0     
43     55     icmp            1      1    0        0     
44     57     load            32     15   0        17    
45     58     icmp            1      1    0        0     
46     60     phi             1      1    0        0     
47     62     load            32     16   16       0     
48     63     add             32     16   16       0     
49     49     load            64     3    61       0     
50     50     load            32     16   16       0     
51     51     sext            64     16   41       7     
52     52     getelementptr   64     22   42       0     
53     53     getelementptr   64     20   44       0     
54     54     call            32     32   0        0     
55     55     icmp            1      1    0        0     
56     57     load            32     15   0        17    
57     58     icmp            1      1    0        0     
58     60     phi             1      1    0        0     
59     62     load            32     16   16       0     
60     63     add             32     16   16       0     
61     49     load            64     3    61       0     
62     50     load            32     16   16       0     
