cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      65     alloca          64     0    50       14    
1      66     alloca          64     0    50       14    
2      46     alloca          64     0    48       16    
3      47     alloca          64     3    49       12    
4      10     alloca          64     0    51       13    
5      11     load            32     0    0        32    
6      12     load            32     0    0        32    
7      13     icmp            1      1    0        0     
8      19     load            32     32   0        0     
9      49     call            32     32   0        0     
10     50     icmp            1      1    0        0     
11     52     load            32     4    28       0     
12     53     add             32     10   22       0     
13     55     load            32     32   0        0     
14     56     load            32     10   22       0     
15     57     sext            64     10   52       2     
16     58     getelementptr   64     12   52       0     
17     63     load            32     0    0        32    
18     68     call            32     0    0        32    
19     46     alloca          64     0    48       16    
20     47     alloca          64     3    51       10    
21     10     alloca          64     0    49       15    
22     11     load            32     1    0        31    
23     12     load            32     1    0        31    
24     13     icmp            1      1    0        0     
25     19     load            32     32   0        0     
26     49     call            32     32   0        0     
27     50     icmp            1      1    0        0     
28     52     load            32     10   22       0     
29     53     add             32     10   22       0     
30     55     load            32     32   0        0     
31     56     load            32     10   22       0     
32     57     sext            64     10   52       2     
33     58     getelementptr   64     12   52       0     
34     63     load            32     0    0        32    
35     69     call            32     0    0        32    
36     46     alloca          64     0    49       15    
37     47     alloca          64     2    50       12    
38     10     alloca          64     0    49       15    
39     11     load            32     0    0        32    
40     12     load            32     0    0        32    
41     13     icmp            1      1    0        0     
42     19     load            32     32   0        0     
43     49     call            32     32   0        0     
44     50     icmp            1      1    0        0     
45     52     load            32     10   22       0     
46     53     add             32     10   22       0     
47     55     load            32     32   0        0     
48     56     load            32     10   22       0     
49     57     sext            64     10   52       2     
50     58     getelementptr   64     11   53       0     
51     63     load            32     0    0        32    
52     70     call            32     0    0        32    
53     46     alloca          64     0    46       18    
54     47     alloca          64     2    50       12    
55     10     alloca          64     0    49       15    
56     11     load            32     0    0        32    
57     12     load            32     0    0        32    
58     13     icmp            1      1    0        0     
59     19     load            32     32   0        0     
60     49     call            32     32   0        0     
61     50     icmp            1      1    0        0     
62     52     load            32     10   22       0     
63     53     add             32     10   22       0     
64     55     load            32     32   0        0     
65     56     load            32     10   22       0     
66     57     sext            64     10   52       2     
67     58     getelementptr   64     11   53       0     
68     63     load            32     0    0        32    
69     71     call            32     0    0        32    
70     46     alloca          64     0    49       15    
71     47     alloca          64     3    50       11    
72     10     alloca          64     0    51       13    
73     11     load            32     0    0        32    
74     12     load            32     0    0        32    
75     13     icmp            1      1    0        0     
76     19     load            32     32   0        0     
77     49     call            32     32   0        0     
78     50     icmp            1      1    0        0     
79     52     load            32     10   22       0     
80     53     add             32     10   22       0     
81     55     load            32     32   0        0     
82     56     load            32     10   22       0     
83     57     sext            64     10   52       2     
84     58     getelementptr   64     11   53       0     
85     63     load            32     0    0        32    
86     72     call            32     0    0        32    
87     46     alloca          64     0    47       17    
88     47     alloca          64     2    50       12    
89     10     alloca          64     0    51       13    
90     11     load            32     0    0        32    
91     12     load            32     0    0        32    
92     13     icmp            1      1    0        0     
