cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      65     alloca          32     0    11       21    
1      66     alloca          32     0    11       21    
2      67     store           32     0    0        32    
3      68     call            32     32   0        0     
4      46     alloca          32     0    11       21    
5      47     alloca          32     0    11       21    
6      48     store           32     32   0        0     
7      49     call            64     2    62       0     
8      10     alloca          32     0    11       21    
9      11     load            64     1    51       12    
10     12     load            64     1    51       12    
11     13     icmp            32     0    0        32    
12     14     br              1      1    0        0     
13     17     store           32     32   0        0     
14     19     load            64     8    49       7     
15     20     ret             32     32   0        0     
16     50     icmp            32     32   0        0     
17     51     br              1      1    0        0     
18     52     load            64     11   53       0     
19     53     add             32     4    28       0     
20     54     store           32     10   22       0     
21     55     load            64     13   48       3     
22     56     load            64     2    51       11    
23     57     sext            32     10   22       0     
24     58     getelementptr   64     12   52       0     
25     59     store           32     32   0        0     
26     63     load            64     0    51       13    
27     64     ret             32     0    0        32    
28     69     call            32     32   0        0     
29     46     alloca          32     0    11       21    
30     47     alloca          32     0    11       21    
31     48     store           32     32   0        0     
32     49     call            64     2    62       0     
33     10     alloca          32     0    11       21    
34     11     load            64     1    51       12    
35     12     load            64     10   51       3     
36     13     icmp            32     1    0        31    
37     14     br              1      1    0        0     
38     17     store           32     32   0        0     
39     19     load            64     9    47       8     
40     20     ret             32     32   0        0     
41     50     icmp            32     32   0        0     
42     51     br              1      1    0        0     
43     52     load            64     2    51       11    
44     53     add             32     10   22       0     
45     54     store           32     10   22       0     
46     55     load            64     16   47       1     
47     56     load            64     13   51       0     
48     57     sext            32     10   22       0     
49     58     getelementptr   64     12   52       0     
50     59     store           32     32   0        0     
51     63     load            64     0    49       15    
52     64     ret             32     0    0        32    
53     70     call            32     32   0        0     
54     46     alloca          32     0    11       21    
55     47     alloca          32     0    11       21    
56     48     store           32     32   0        0     
57     49     call            64     2    62       0     
58     10     alloca          32     0    11       21    
59     11     load            64     1    51       12    
60     12     load            64     1    51       12    
61     13     icmp            32     0    0        32    
62     14     br              1      1    0        0     
63     17     store           32     32   0        0     
64     19     load            64     8    49       7     
65     20     ret             32     32   0        0     
66     50     icmp            32     32   0        0     
67     51     br              1      1    0        0     
68     52     load            64     13   51       0     
69     53     add             32     10   22       0     
70     54     store           32     10   22       0     
71     55     load            64     16   48       0     
72     56     load            64     13   51       0     
73     57     sext            32     10   22       0     
74     58     getelementptr   64     11   53       0     
75     59     store           32     32   0        0     
76     63     load            64     0    49       15    
77     64     ret             32     0    0        32    
78     71     call            32     32   0        0     
79     46     alloca          32     0    11       21    
80     47     alloca          32     0    11       21    
81     48     store           32     32   0        0     
82     49     call            64     2    62       0     
83     10     alloca          32     0    11       21    
84     11     load            64     1    51       12    
85     12     load            64     1    51       12    
86     13     icmp            32     0    0        32    
87     14     br              1      1    0        0     
88     17     store           32     32   0        0     
89     19     load            64     7    49       8     
90     20     ret             32     32   0        0     
91     50     icmp            32     32   0        0     
92     51     br              1      1    0        0     
93     52     load            64     13   51       0     
94     53     add             32     10   22       0     
95     54     store           32     10   22       0     
96     55     load            64     14   50       0     
97     56     load            64     13   51       0     
98     57     sext            32     10   22       0     
99     58     getelementptr   64     11   53       0     
100    59     store           32     32   0        0     
101    63     load            64     0    48       16    
102    64     ret             32     0    0        32    
103    72     call            32     32   0        0     
104    46     alloca          32     0    11       21    
105    47     alloca          32     0    11       21    
106    48     store           32     32   0        0     
107    49     call            64     2    62       0     
108    10     alloca          32     0    11       21    
109    11     load            64     1    51       12    
110    12     load            64     1    51       12    
111    13     icmp            32     0    0        32    
112    14     br              1      1    0        0     
113    17     store           32     32   0        0     
114    19     load            64     7    48       9     
115    20     ret             32     32   0        0     
116    50     icmp            32     32   0        0     
117    51     br              1      1    0        0     
118    52     load            64     13   51       0     
119    53     add             32     10   22       0     
120    54     store           32     10   22       0     
121    55     load            64     14   49       1     
122    56     load            64     13   51       0     
123    57     sext            32     10   22       0     
124    58     getelementptr   64     11   53       0     
125    59     store           32     32   0        0     
126    63     load            64     0    48       16    
127    64     ret             32     0    0        32    
128    73     call            32     32   0        0     
129    46     alloca          32     0    11       21    
130    47     alloca          32     0    11       21    
131    48     store           32     32   0        0     
132    49     call            64     2    62       0     
133    10     alloca          32     0    11       21    
134    11     load            64     1    51       12    
135    12     load            64     1    51       12    
136    13     icmp            32     0    0        32    
137    14     br              1      1    0        0     
138    17     store           32     32   0        0     
139    19     load            64     8    48       8     
140    20     ret             32     32   0        0     
141    50     icmp            32     32   0        0     
142    51     br              1      1    0        0     
143    52     load            64     13   51       0     
144    53     add             32     10   22       0     
145    54     store           32     10   22       0     
146    55     load            64     16   48       0     
147    56     load            64     13   51       0     
148    57     sext            32     10   22       0     
149    58     getelementptr   64     11   53       0     
150    59     store           32     32   0        0     
151    63     load            64     0    49       15    
152    64     ret             32     0    0        32    
153    74     call            64     1    63       0     
154    21     load            64     13   51       0     
155    22     sext            32     10   22       0     
156    23     getelementptr   64     13   51       0     
157    24     load            64     13   51       0     
158    25     ret             32     32   0        0     
159    75     call            64     13   51       0     
160    77     call            64     2    62       0     
161    0      alloca          32     0    11       21    
162    1      load            64     0    51       13    
163    2      icmp            32     0    0        32    
164    3      br              1      1    0        0     
165    6      store           32     32   0        0     
166    8      load            64     6    50       8     
167    9      ret             32     32   0        0     
168    78     icmp            32     32   0        0     
169    79     xor             1      1    0        0     
170    80     br              1      1    0        0     
171    81     call            64     0    64       0     
172    26     alloca          32     0    11       21    
173    27     alloca          32     0    11       21    
174    28     call            64     2    62       0     
175    0      alloca          32     0    11       21    
176    1      load            64     0    51       13    
177    2      icmp            32     0    0        32    
178    3      br              1      1    0        0     
179    6      store           32     32   0        0     
180    8      load            64     8    47       9     
181    9      ret             32     32   0        0     
182    29     icmp            32     32   0        0     
183    30     br              1      1    0        0     
184    31     load            64     13   51       0     
185    32     sext            32     10   22       0     
186    33     getelementptr   64     13   51       0     
187    34     load            64     13   51       0     
188    35     store           32     32   0        0     
189    36     load            64     13   51       0     
190    37     sub             32     10   22       0     
191    38     store           32     10   22       0     
192    39     load            64     15   49       0     
193    40     store           32     32   0        0     
194    44     load            64     14   49       1     
195    45     ret             32     32   0        0     
196    82     store           32     32   0        0     
197    83     load            64     17   47       0     
198    84     call            64     12   52       0     
199    77     call            64     2    62       0     
200    0      alloca          32     0    11       21    
201    1      load            64     0    51       13    
202    2      icmp            32     0    0        32    
203    3      br              1      1    0        0     
204    6      store           32     32   0        0     
205    8      load            64     8    49       7     
206    9      ret             32     32   0        0     
207    78     icmp            32     32   0        0     
208    79     xor             1      1    0        0     
209    80     br              1      1    0        0     
210    81     call            64     0    64       0     
