cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      55     alloca          64     0    47       17    
1      56     alloca          64     2    50       12    
2      57     alloca          64     7    49       8     
3      58     alloca          64     5    47       12    
4      63     load            32     30   0        2     
5      64     icmp            1      1    0        0     
6      66     load            32     32   0        0     
7      67     sext            64     32   0        32    
8      0      alloca          64     1    51       12    
9      1      alloca          64     2    51       11    
10     2      alloca          64     4    50       10    
11     3      alloca          64     2    52       10    
12     4      alloca          64     2    51       11    
13     5      alloca          64     2    51       11    
14     13     load            32     0    0        32    
15     14     icmp            1      0    0        1     
16     16     load            64     62   0        2     
17     17     shl             64     64   0        0     
18     18     load            64     2    0        62    
19     19     and             64     34   0        30    
20     20     lshr            64     64   0        0     
21     21     add             64     64   0        0     
22     23     load            64     30   0        34    
23     24     shl             64     32   0        32    
24     26     load            64     32   0        32    
25     27     shl             64     33   0        31    
26     29     load            64     0    0        64    
27     30     shl             64     0    0        64    
28     31     add             64     1    0        63    
29     33     load            64     64   0        0     
30     34     load            64     1    0        63    
31     35     icmp            1      1    0        0     
32     46     load            32     0    1        31    
33     47     add             32     0    1        31    
34     13     load            32     0    0        32    
35     14     icmp            1      0    0        1     
36     16     load            64     62   0        2     
37     17     shl             64     64   0        0     
38     18     load            64     2    0        62    
39     19     and             64     34   0        30    
40     20     lshr            64     64   0        0     
41     21     add             64     64   0        0     
42     23     load            64     30   0        34    
43     24     shl             64     32   0        32    
44     26     load            64     33   0        31    
45     27     shl             64     34   0        30    
46     29     load            64     0    0        64    
47     30     shl             64     0    0        64    
48     31     add             64     1    0        63    
49     33     load            64     64   0        0     
50     34     load            64     1    0        63    
51     35     icmp            1      1    0        0     
52     46     load            32     0    1        31    
53     47     add             32     0    1        31    
54     13     load            32     0    0        32    
55     14     icmp            1      0    0        1     
56     16     load            64     62   0        2     
57     17     shl             64     64   0        0     
58     18     load            64     2    0        62    
59     19     and             64     34   0        30    
60     20     lshr            64     64   0        0     
61     21     add             64     64   0        0     
62     23     load            64     30   0        34    
63     24     shl             64     32   0        32    
64     26     load            64     34   0        30    
65     27     shl             64     35   0        29    
66     29     load            64     0    0        64    
67     30     shl             64     0    0        64    
68     31     add             64     1    0        63    
69     33     load            64     64   0        0     
70     34     load            64     1    0        63    
71     35     icmp            1      1    0        0     
72     46     load            32     0    1        31    
73     47     add             32     0    1        31    
74     13     load            32     0    0        32    
75     14     icmp            1      0    0        1     
76     16     load            64     62   0        2     
77     17     shl             64     64   0        0     
