cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      1382   store           32     0    0        32    
1      1383   store           32     1    2        29    
2      1384   store           64     3    61       0     
3      1387   br              1      0    1        0     
4      1396   call            64     4    60       0     
5      729    store           64     5    59       0     
6      730    store           64     1    63       0     
7      733    call            64     5    59       0     
8      528    store           64     4    60       0     
9      529    store           32     9    23       0     
10     531    store           8      0    8        0     
11     532    store           64     2    62       0     
12     533    store           32     0    32       0     
13     535    store           32     9    23       0     
14     536    store           32     0    0        32    
15     537    store           8      0    8        0     
16     541    br              1      0    1        0     
17     551    br              1      0    1        0     
18     561    br              1      0    1        0     
19     563    store           32     0    0        32    
20     571    br              1      1    0        0     
21     584    br              1      1    0        0     
22     601    br              1      0    0        1     
23     625    br              1      0    1        0     
24     644    br              1      0    0        1     
25     668    call            32     0    8        24    
26     21     store           8      0    8        0     
27     22     store           64     1    63       0     
28     23     store           64     0    64       0     
29     24     store           32     0    1        31    
30     29     br              1      0    1        0     
31     38     store           8      0    8        0     
32     43     store           32     6    26       0     
33     44     store           8      0    0        8     
34     48     ret             32     0    0        32    
35     670    store           8      0    0        8     
36     672    call            64     14   50       0     
37     52     store           64     16   48       0     
38     53     store           64     1    58       5     
39     62     br              1      1    0        0     
40     69     store           8      8    0        0     
41     122    ret             8      8    0        0     
42     673    store           8      8    0        0     
43     677    call            32     8    0        24    
44     21     store           8      8    0        0     
45     22     store           64     16   48       0     
46     23     store           64     6    58       0     
47     24     store           32     1    0        31    
48     29     br              1      1    0        0     
49     38     store           8      8    0        0     
50     43     store           32     1    31       0     
51     44     store           8      0    0        8     
52     48     ret             32     0    0        32    
53     679    store           8      0    0        8     
54     686    store           32     0    0        32    
55     689    br              1      1    0        0     
56     692    store           32     8    23       1     
57     541    br              1      0    1        0     
58     551    br              1      0    1        0     
59     561    br              1      0    1        0     
60     563    store           32     0    0        32    
61     571    br              1      1    0        0     
62     573    call            32     0    8        24    
63     21     store           8      0    8        0     
64     22     store           64     0    64       0     
65     23     store           64     0    58       6     
66     24     store           32     0    0        32    
67     29     br              1      0    0        1     
68     38     store           8      0    8        0     
69     43     store           32     1    30       1     
70     44     store           8      0    0        8     
71     48     ret             32     0    0        32    
72     575    store           8      0    0        8     
73     686    store           32     0    0        32    
74     689    br              1      0    0        1     
75     692    store           32     8    23       1     
76     541    br              1      0    0        1     
77     551    br              1      0    0        1     
78     561    br              1      1    0        0     
79     696    call            32     0    8        24    
80     21     store           8      0    8        0     
81     22     store           64     0    64       0     
82     23     store           64     4    59       1     
83     24     store           32     0    1        31    
84     29     br              1      0    1        0     
85     38     store           8      0    8        0     
86     43     store           32     0    0        32    
87     44     store           8      0    1        7     
88     48     ret             32     0    1        31    
89     698    store           8      0    1        7     
90     702    br              1      0    1        0     
91     712    br              1      0    1        0     
92     717    br              1      0    1        0     
93     721    store           32     0    2        30    
94     725    ret             32     0    2        30    
95     734    store           32     0    2        30    
96     738    ret             32     0    1        31    
97     1398   store           8      0    1        7     
98     1401   br              1      0    1        0     
99     1408   br              1      1    0        0     
100    1413   call            64     7    57       0     
101    834    store           64     7    57       0     
102    835    store           64     17   47       0     
103    838    call            64     7    57       0     
104    748    store           64     7    57       0     
105    749    store           32     10   22       0     
106    751    store           8      0    8        0     
107    752    store           64     16   48       0     
108    753    store           32     7    25       0     
109    755    store           32     10   22       0     
110    766    br              1      0    1        0     
111    776    br              1      0    1        0     
112    784    br              1      1    0        0     
113    791    call            64     13   51       0     
114    52     store           64     18   46       0     
115    53     store           64     3    56       5     
116    62     br              1      1    0        0     
117    69     store           8      8    0        0     
118    122    ret             8      8    0        0     
119    792    store           8      8    0        0     
120    796    call            32     8    0        24    
121    21     store           8      8    0        0     
122    22     store           64     14   50       0     
123    23     store           64     12   52       0     
124    24     store           32     1    0        31    
125    29     br              1      1    0        0     
126    38     store           8      8    0        0     
127    43     store           32     7    25       0     
128    44     store           8      0    0        8     
129    48     ret             32     0    0        32    
130    798    store           8      0    0        8     
131    802    store           32     10   22       0     
132    766    br              1      0    1        0     
133    776    br              1      0    1        0     
134    784    br              1      1    0        0     
135    786    call            32     8    0        24    
136    21     store           8      8    0        0     
137    22     store           64     15   49       0     
138    23     store           64     15   49       0     
139    24     store           32     1    0        31    
140    29     br              1      1    0        0     
141    38     store           8      8    0        0     
142    43     store           32     7    25       0     
143    44     store           8      0    0        8     
144    48     ret             32     0    0        32    
145    788    store           8      0    0        8     
146    802    store           32     10   22       0     
147    766    br              1      0    0        1     
148    776    br              1      0    0        1     
149    813    br              1      0    1        0     
150    817    call            32     8    0        24    
151    21     store           8      8    0        0     
152    22     store           64     15   49       0     
153    23     store           64     8    55       1     
154    24     store           32     0    1        31    
155    29     br              1      0    1        0     
156    38     store           8      8    0        0     
157    43     store           32     0    0        32    
158    44     store           8      0    1        7     
159    48     ret             32     0    1        31    
160    819    store           8      0    1        7     
161    822    br              1      0    1        0     
162    826    store           32     0    2        30    
163    830    ret             32     0    2        30    
164    839    store           32     0    2        30    
165    844    ret             8      0    1        7     
166    1414   store           8      0    1        7     
167    1417   br              1      0    1        0     
168    1428   call            64     6    58       0     
169    1358   store           64     9    55       0     
170    1359   store           64     14   50       0     
171    1361   call            64     14   50       0     
172    3      store           64     14   50       0     
173    4      store           32     1    0        31    
174    8      call            64     14   50       0     
175    9      store           64     0    0        64    
176    14     ret             8      1    0        7     
177    1362   store           8      1    0        7     
178    1366   br              1      1    0        0     
179    1370   call            64     16   48       0     
180    1296   store           64     15   49       0     
181    1297   store           64     6    58       0     
182    1298   store           64     16   48       0     
183    1299   store           32     0    0        32    
184    1300   store           32     13   19       0     
185    1309   br              1      1    0        0     
186    1313   call            64     1    48       15    
187    1110   store           64     1    47       16    
188    1111   store           32     1    18       13    
189    1112   store           64     5    59       0     
190    1113   store           32     6    26       0     
191    1114   store           8      8    0        0     
192    1118   br              1      1    0        0     
193    1128   br              1      1    0        0     
194    1136   br              1      1    0        0     
195    1208   call            64     1    48       15    
196    896    store           64     1    48       15    
197    897    store           64     0    55       9     
198    898    store           64     1    63       0     
199    899    store           32     1    31       0     
200    900    store           8      0    0        8     
201    909    br              1      0    0        1     
202    918    call            32     0    8        24    
203    482    store           8      0    8        0     
204    486    br              1      0    1        0     
205    514    ret             8      0    1        7     
206    920    br              1      0    1        0     
207    947    br              1      1    0        0     
208    1036   br              1      1    0        0     
209    1046   store           8      8    0        0     
210    1049   ret             8      8    0        0     
211    1209   store           8      8    0        0     
212    1212   br              1      1    0        0     
213    1213   store           32     17   15       0     
214    1214   store           8      0    0        8     
215    1118   br              1      0    0        1     
216    1128   br              1      0    0        1     
217    1226   ret             32     17   15       0     
218    1314   store           32     17   15       0     
219    1317   br              1      0    0        1     
220    1332   br              1      1    0        0     
221    1344   call            32     8    0        24    
222    1347   store           32     13   19       0     
223    1309   br              1      1    0        0     
224    1313   call            64     0    48       16    
225    1110   store           64     0    50       14    
226    1111   store           32     0    19       13    
227    1112   store           64     10   54       0     
228    1113   store           32     6    26       0     
229    1114   store           8      8    0        0     
230    1118   br              1      1    0        0     
231    1128   br              1      1    0        0     
232    1136   br              1      1    0        0     
233    1208   call            64     0    49       15    
234    896    store           64     0    48       16    
235    897    store           64     0    55       9     
236    898    store           64     1    63       0     
237    899    store           32     1    31       0     
238    900    store           8      1    0        7     
239    909    br              1      0    0        1     
240    918    call            32     0    8        24    
241    482    store           8      0    8        0     
242    486    br              1      0    1        0     
243    514    ret             8      0    1        7     
244    920    br              1      0    1        0     
245    947    br              1      1    0        0     
246    1036   br              1      1    0        0     
247    1046   store           8      8    0        0     
248    1049   ret             8      8    0        0     
249    1209   store           8      8    0        0     
250    1212   br              1      1    0        0     
251    1213   store           32     17   15       0     
252    1214   store           8      0    0        8     
253    1118   br              1      0    0        1     
254    1128   br              1      0    0        1     
255    1226   ret             32     17   15       0     
256    1314   store           32     17   15       0     
257    1317   br              1      0    0        1     
258    1332   br              1      1    0        0     
259    1344   call            32     8    0        24    
260    1347   store           32     14   18       0     
261    1309   br              1      1    0        0     
262    1313   call            64     0    47       17    
263    1110   store           64     0    47       17    
264    1111   store           32     0    19       13    
265    1112   store           64     6    58       0     
266    1113   store           32     5    27       0     
267    1114   store           8      8    0        0     
268    1118   br              1      1    0        0     
269    1128   br              1      1    0        0     
270    1136   br              1      1    0        0     
271    1208   call            64     0    47       17    
272    896    store           64     0    50       14    
273    897    store           64     0    54       10    
274    898    store           64     1    63       0     
275    899    store           32     1    31       0     
276    900    store           8      1    0        7     
277    909    br              1      0    0        1     
278    918    call            32     0    8        24    
279    482    store           8      0    8        0     
280    486    br              1      0    1        0     
281    514    ret             8      0    1        7     
282    920    br              1      0    1        0     
283    947    br              1      1    0        0     
284    1036   br              1      1    0        0     
285    1046   store           8      8    0        0     
286    1049   ret             8      8    0        0     
287    1209   store           8      8    0        0     
288    1212   br              1      1    0        0     
289    1213   store           32     17   15       0     
290    1214   store           8      0    0        8     
291    1118   br              1      0    0        1     
292    1128   br              1      0    0        1     
293    1226   ret             32     17   15       0     
294    1314   store           32     17   15       0     
295    1317   br              1      0    0        1     
296    1332   br              1      1    0        0     
297    1344   call            32     8    0        24    
298    1347   store           32     13   19       0     
299    1309   br              1      1    0        0     
300    1313   call            64     0    50       14    
301    1110   store           64     0    48       16    
302    1111   store           32     0    18       14    
303    1112   store           64     6    58       0     
304    1113   store           32     5    27       0     
305    1114   store           8      8    0        0     
306    1118   br              1      1    0        0     
307    1128   br              1      1    0        0     
308    1136   br              1      1    0        0     
309    1208   call            64     0    48       16    
310    896    store           64     0    47       17    
311    897    store           64     0    56       8     
312    898    store           64     1    63       0     
313    899    store           32     1    31       0     
314    900    store           8      1    0        7     
315    909    br              1      0    0        1     
316    918    call            32     0    8        24    
317    482    store           8      0    8        0     
318    486    br              1      0    1        0     
319    514    ret             8      0    1        7     
320    920    br              1      0    1        0     
321    947    br              1      1    0        0     
322    1036   br              1      1    0        0     
323    1046   store           8      8    0        0     
324    1049   ret             8      8    0        0     
325    1209   store           8      8    0        0     
326    1212   br              1      1    0        0     
327    1213   store           32     18   14       0     
328    1214   store           8      0    0        8     
329    1118   br              1      0    0        1     
330    1128   br              1      0    0        1     
331    1226   ret             32     17   15       0     
332    1314   store           32     18   14       0     
333    1317   br              1      0    0        1     
334    1332   br              1      1    0        0     
335    1344   call            32     8    0        24    
336    1347   store           32     14   18       0     
337    1309   br              1      1    0        0     
338    1313   call            64     1    50       13    
339    1110   store           64     1    50       13    
340    1111   store           32     0    18       14    
341    1112   store           64     7    57       0     
342    1113   store           32     5    27       0     
343    1114   store           8      8    0        0     
344    1118   br              1      1    0        0     
345    1128   br              1      1    0        0     
346    1136   br              1      1    0        0     
347    1208   call            64     1    48       15    
348    896    store           64     1    47       16    
349    897    store           64     0    56       8     
350    898    store           64     1    63       0     
351    899    store           32     1    31       0     
352    900    store           8      1    0        7     
353    909    br              1      0    0        1     
354    918    call            32     0    8        24    
355    482    store           8      0    8        0     
356    486    br              1      0    1        0     
357    514    ret             8      0    1        7     
358    920    br              1      0    1        0     
359    947    br              1      1    0        0     
360    1036   br              1      1    0        0     
361    1046   store           8      8    0        0     
362    1049   ret             8      8    0        0     
363    1209   store           8      8    0        0     
364    1212   br              1      1    0        0     
365    1213   store           32     17   15       0     
366    1214   store           8      0    0        8     
367    1118   br              1      0    0        1     
368    1128   br              1      0    0        1     
369    1226   ret             32     18   14       0     
370    1314   store           32     17   15       0     
371    1317   br              1      0    0        1     
372    1332   br              1      1    0        0     
373    1344   call            32     8    0        24    
374    1347   store           32     14   18       0     
375    1309   br              1      1    0        0     
376    1313   call            64     0    49       15    
377    1110   store           64     0    47       17    
378    1111   store           32     0    18       14    
379    1112   store           64     5    59       0     
380    1113   store           32     6    26       0     
381    1114   store           8      8    0        0     
382    1118   br              1      1    0        0     
383    1128   br              1      1    0        0     
384    1136   br              1      1    0        0     
385    1208   call            64     0    49       15    
386    896    store           64     0    50       14    
387    897    store           64     0    55       9     
388    898    store           64     1    63       0     
389    899    store           32     1    31       0     
390    900    store           8      1    0        7     
391    909    br              1      0    0        1     
392    918    call            32     0    8        24    
393    482    store           8      0    8        0     
394    486    br              1      0    1        0     
395    514    ret             8      0    1        7     
396    920    br              1      0    1        0     
397    947    br              1      1    0        0     
398    1036   br              1      1    0        0     
399    1046   store           8      8    0        0     
400    1049   ret             8      8    0        0     
401    1209   store           8      8    0        0     
402    1212   br              1      1    0        0     
403    1213   store           32     18   14       0     
404    1214   store           8      0    0        8     
405    1118   br              1      0    0        1     
406    1128   br              1      0    0        1     
407    1226   ret             32     18   14       0     
408    1314   store           32     17   15       0     
409    1317   br              1      0    0        1     
410    1332   br              1      1    0        0     
411    1344   call            32     8    0        24    
412    1347   store           32     15   17       0     
413    1309   br              1      1    0        0     
414    1313   call            64     1    49       14    
415    1110   store           64     1    48       15    
416    1111   store           32     0    18       14    
417    1112   store           64     8    56       0     
418    1113   store           32     5    27       0     
419    1114   store           8      8    0        0     
420    1118   br              1      1    0        0     
421    1128   br              1      1    0        0     
422    1136   br              1      1    0        0     
423    1208   call            64     1    48       15    
424    896    store           64     1    50       13    
425    897    store           64     0    55       9     
426    898    store           64     1    63       0     
427    899    store           32     1    31       0     
428    900    store           8      1    0        7     
429    909    br              1      0    0        1     
430    918    call            32     0    8        24    
431    482    store           8      0    8        0     
432    486    br              1      0    1        0     
433    514    ret             8      0    1        7     
434    920    br              1      0    1        0     
435    947    br              1      1    0        0     
436    1036   br              1      1    0        0     
437    1046   store           8      8    0        0     
438    1049   ret             8      8    0        0     
439    1209   store           8      8    0        0     
440    1212   br              1      1    0        0     
441    1213   store           32     17   15       0     
442    1214   store           8      0    0        8     
443    1118   br              1      0    0        1     
444    1128   br              1      0    0        1     
445    1226   ret             32     18   14       0     
446    1314   store           32     17   15       0     
447    1317   br              1      0    0        1     
448    1332   br              1      1    0        0     
449    1344   call            32     8    0        24    
450    1347   store           32     14   18       0     
451    1309   br              1      1    0        0     
452    1313   call            64     1    50       13    
453    1110   store           64     1    49       14    
454    1111   store           32     0    18       14    
455    1112   store           64     8    56       0     
456    1113   store           32     4    28       0     
457    1114   store           8      8    0        0     
458    1118   br              1      1    0        0     
459    1128   br              1      1    0        0     
460    1136   br              1      1    0        0     
461    1208   call            64     1    49       14    
462    896    store           64     1    46       17    
463    897    store           64     0    56       8     
464    898    store           64     1    63       0     
465    899    store           32     1    31       0     
466    900    store           8      0    0        8     
467    909    br              1      0    0        1     
468    918    call            32     0    8        24    
469    482    store           8      0    8        0     
470    486    br              1      0    1        0     
471    514    ret             8      0    1        7     
472    920    br              1      0    1        0     
473    947    br              1      1    0        0     
474    1036   br              1      1    0        0     
475    1046   store           8      8    0        0     
476    1049   ret             8      8    0        0     
477    1209   store           8      8    0        0     
478    1212   br              1      1    0        0     
479    1213   store           32     17   15       0     
480    1214   store           8      0    0        8     
481    1118   br              1      0    0        1     
482    1128   br              1      0    0        1     
483    1226   ret             32     18   14       0     
484    1314   store           32     17   15       0     
485    1317   br              1      0    0        1     
486    1332   br              1      1    0        0     
487    1344   call            32     8    0        24    
488    1347   store           32     14   18       0     
489    1309   br              1      1    0        0     
490    1313   call            64     16   48       0     
491    1110   store           64     16   48       0     
