cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      16     alloca          64     0    47       17    
1      17     alloca          64     0    52       12    
2      21     load            64     0    0        64    
3      22     fcmp            1      1    0        0     
4      24     load            64     2    0        62    
5      25     load            64     2    0        62    
6      8      alloca          64     0    50       14    
7      10     call            64     2    0        62    
8      11     fmul            64     1    0        63    
9      12     load            64     2    0        62    
10     13     fmul            64     2    0        62    
11     14     fdiv            64     2    0        62    
12     26     call            64     2    0        62    
13     27     call            32     0    0        32    
14     29     load            64     1    0        63    
15     30     fadd            64     61   0        3     
16     21     load            64     7    0        57    
17     22     fcmp            1      1    0        0     
18     24     load            64     18   0        46    
19     25     load            64     55   0        9     
20     8      alloca          64     3    52       9     
21     10     call            64     52   0        12    
22     11     fmul            64     52   0        12    
23     12     load            64     55   0        9     
24     13     fmul            64     52   0        12    
25     14     fdiv            64     52   0        12    
26     26     call            64     52   0        12    
27     27     call            32     0    0        32    
28     29     load            64     61   0        3     
29     30     fadd            64     62   0        2     
30     21     load            64     7    0        57    
31     22     fcmp            1      1    0        0     
32     24     load            64     18   0        46    
33     25     load            64     52   0        12    
34     8      alloca          64     2    53       9     
35     10     call            64     53   0        11    
36     11     fmul            64     53   0        11    
37     12     load            64     52   0        12    
38     13     fmul            64     53   0        11    
39     14     fdiv            64     53   0        11    
40     26     call            64     53   0        11    
41     27     call            32     0    0        32    
42     29     load            64     62   0        2     
43     30     fadd            64     63   0        1     
44     21     load            64     7    0        57    
45     22     fcmp            1      1    0        0     
46     24     load            64     20   0        44    
47     25     load            64     55   0        9     
48     8      alloca          64     4    50       10    
49     10     call            64     53   0        11    
50     11     fmul            64     53   0        11    
51     12     load            64     55   0        9     
52     13     fmul            64     53   0        11    
53     14     fdiv            64     55   0        9     
54     26     call            64     55   0        9     
55     27     call            32     0    0        32    
56     29     load            64     63   0        1     
57     30     fadd            64     63   0        1     
58     21     load            64     7    0        57    
59     22     fcmp            1      1    0        0     
60     24     load            64     19   0        45    
61     25     load            64     53   0        11    
62     8      alloca          64     1    52       11    
63     10     call            64     54   0        10    
64     11     fmul            64     54   0        10    
65     12     load            64     53   0        11    
66     13     fmul            64     55   0        9     
67     14     fdiv            64     54   0        10    
68     26     call            64     54   0        10    
69     27     call            32     0    0        32    
70     29     load            64     63   0        1     
71     30     fadd            64     63   0        1     
72     21     load            64     8    0        56    
73     22     fcmp            1      1    0        0     
74     24     load            64     20   0        44    
75     25     load            64     54   0        10    
76     8      alloca          64     2    50       12    
77     10     call            64     54   0        10    
78     11     fmul            64     54   0        10    
79     12     load            64     54   0        10    
80     13     fmul            64     54   0        10    
81     14     fdiv            64     54   0        10    
82     26     call            64     54   0        10    
83     27     call            32     0    0        32    
84     29     load            64     63   0        1     
85     30     fadd            64     64   0        0     
86     21     load            64     8    0        56    
87     22     fcmp            1      1    0        0     
88     24     load            64     20   0        44    
89     25     load            64     54   0        10    
90     8      alloca          64     3    53       8     
91     10     call            64     54   0        10    
92     11     fmul            64     54   0        10    
93     12     load            64     54   0        10    
94     13     fmul            64     55   0        9     
95     14     fdiv            64     55   0        9     
96     26     call            64     55   0        9     
97     27     call            32     0    0        32    
98     29     load            64     64   0        0     
99     30     fadd            64     64   0        0     
100    21     load            64     9    0        55    
101    22     fcmp            1      1    0        0     
102    24     load            64     21   0        43    
103    25     load            64     55   0        9     
104    8      alloca          64     4    52       8     
105    10     call            64     55   0        9     
106    11     fmul            64     55   0        9     
107    12     load            64     55   0        9     
108    13     fmul            64     54   0        10    
109    14     fdiv            64     54   0        10    
110    26     call            64     54   0        10    
111    27     call            32     0    0        32    
112    29     load            64     64   0        0     
113    30     fadd            64     64   0        0     
114    21     load            64     56   0        8     
115    22     fcmp            1      1    0        0     
116    24     load            64     20   0        44    
117    25     load            64     54   0        10    
118    8      alloca          64     0    52       12    
119    10     call            64     55   0        9     
120    11     fmul            64     55   0        9     
121    12     load            64     54   0        10    
122    13     fmul            64     57   0        7     
123    14     fdiv            64     55   0        9     
124    26     call            64     55   0        9     
125    27     call            32     0    0        32    
126    29     load            64     6    0        58    
127    30     fadd            64     6    0        58    
