cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      18     store           32     0    0        32    
1      19     store           64     2    0        62    
2      23     br              1      1    0        0     
3      26     call            64     2    0        62    
4      9      store           64     2    0        62    
5      10     call            64     1    0        63    
6      15     ret             64     2    0        62    
7      27     call            64     13   51       0     
8      31     store           64     61   0        3     
9      23     br              1      1    0        0     
10     26     call            64     55   0        9     
11     9      store           64     55   0        9     
12     10     call            64     55   0        9     
13     15     ret             64     52   0        12    
14     27     call            64     13   51       0     
15     31     store           64     62   0        2     
16     23     br              1      1    0        0     
17     26     call            64     52   0        12    
18     9      store           64     52   0        12    
19     10     call            64     52   0        12    
20     15     ret             64     53   0        11    
21     27     call            64     13   51       0     
22     31     store           64     63   0        1     
23     23     br              1      1    0        0     
24     26     call            64     55   0        9     
25     9      store           64     55   0        9     
26     10     call            64     55   0        9     
27     15     ret             64     55   0        9     
28     27     call            64     13   51       0     
29     31     store           64     63   0        1     
30     23     br              1      1    0        0     
31     26     call            64     53   0        11    
32     9      store           64     53   0        11    
33     10     call            64     53   0        11    
34     15     ret             64     54   0        10    
35     27     call            64     13   51       0     
36     31     store           64     63   0        1     
37     23     br              1      1    0        0     
38     26     call            64     54   0        10    
39     9      store           64     54   0        10    
40     10     call            64     55   0        9     
41     15     ret             64     54   0        10    
42     27     call            64     13   51       0     
43     31     store           64     64   0        0     
44     23     br              1      1    0        0     
45     26     call            64     54   0        10    
46     9      store           64     54   0        10    
47     10     call            64     53   0        11    
48     15     ret             64     55   0        9     
49     27     call            64     13   51       0     
50     31     store           64     64   0        0     
51     23     br              1      1    0        0     
52     26     call            64     55   0        9     
53     9      store           64     55   0        9     
54     10     call            64     55   0        9     
55     15     ret             64     54   0        10    
56     27     call            64     13   51       0     
57     31     store           64     64   0        0     
58     23     br              1      1    0        0     
59     26     call            64     54   0        10    
60     9      store           64     54   0        10    
61     10     call            64     53   0        11    
62     15     ret             64     55   0        9     
63     27     call            64     13   51       0     
64     31     store           64     6    0        58    
65     23     br              1      1    0        0     
66     33     call            64     11   51       2     
67     34     store           64     2    0        62    
68     37     call            64     1    0        63    
69     42     br              1      1    0        0     
70     45     call            64     2    0        62    
71     1      store           64     2    0        62    
72     4      call            64     1    0        63    
73     7      ret             64     2    0        62    
74     46     call            64     13   51       0     
75     48     call            64     57   0        7     
76     53     store           64     55   0        9     
77     37     call            64     9    0        55    
78     42     br              1      1    0        0     
79     45     call            64     17   0        47    
80     1      store           64     17   0        47    
81     4      call            64     17   0        47    
82     7      ret             64     17   0        47    
83     46     call            64     13   51       0     
84     48     call            64     57   0        7     
85     53     store           64     56   0        8     
86     37     call            64     9    0        55    
87     42     br              1      1    0        0     
88     45     call            64     18   0        46    
89     1      store           64     18   0        46    
90     4      call            64     18   0        46    
91     7      ret             64     18   0        46    
92     46     call            64     14   50       0     
93     48     call            64     57   0        7     
94     53     store           64     58   0        6     
95     37     call            64     9    0        55    
96     42     br              1      1    0        0     
97     45     call            64     18   0        46    
98     1      store           64     18   0        46    
99     4      call            64     18   0        46    
100    7      ret             64     18   0        46    
101    46     call            64     13   51       0     
102    48     call            64     57   0        7     
103    53     store           64     58   0        6     
104    37     call            64     10   0        54    
105    42     br              1      1    0        0     
106    45     call            64     19   0        45    
107    1      store           64     19   0        45    
108    4      call            64     19   0        45    
109    7      ret             64     19   0        45    
110    46     call            64     13   51       0     
111    48     call            64     57   0        7     
112    53     store           64     58   0        6     
113    37     call            64     10   0        54    
114    42     br              1      1    0        0     
115    45     call            64     19   0        45    
116    1      store           64     19   0        45    
117    4      call            64     19   0        45    
118    7      ret             64     20   0        44    
119    46     call            64     13   51       0     
120    48     call            64     53   0        11    
121    53     store           64     56   0        8     
122    37     call            64     10   0        54    
123    42     br              1      1    0        0     
124    45     call            64     19   0        45    
125    1      store           64     19   0        45    
126    4      call            64     19   0        45    
127    7      ret             64     20   0        44    
128    46     call            64     13   51       0     
129    48     call            64     53   0        11    
130    53     store           64     56   0        8     
131    37     call            64     10   0        54    
132    42     br              1      1    0        0     
133    45     call            64     19   0        45    
134    1      store           64     19   0        45    
135    4      call            64     20   0        44    
136    7      ret             64     20   0        44    
137    46     call            64     13   51       0     
138    48     call            64     53   0        11    
139    53     store           64     57   0        7     
140    37     call            64     11   0        53    
141    42     br              1      1    0        0     
142    45     call            64     20   0        44    
143    1      store           64     20   0        44    
144    4      call            64     20   0        44    
145    7      ret             64     20   0        44    
146    46     call            64     13   51       0     
147    48     call            64     52   0        12    
148    53     store           64     57   0        7     
149    37     call            64     11   0        53    
150    42     br              1      1    0        0     
151    45     call            64     20   0        44    
152    1      store           64     20   0        44    
153    4      call            64     20   0        44    
154    7      ret             64     20   0        44    
155    46     call            64     13   51       0     
156    48     call            64     52   0        12    
157    53     store           64     56   0        8     
158    37     call            64     11   0        53    
159    42     br              1      1    0        0     
160    45     call            64     20   0        44    
161    1      store           64     20   0        44    
162    4      call            64     20   0        44    
163    7      ret             64     21   0        43    
164    46     call            64     14   50       0     
165    48     call            64     52   0        12    
166    53     store           64     57   0        7     
167    37     call            64     11   0        53    
168    42     br              1      1    0        0     
169    45     call            64     20   0        44    
170    1      store           64     20   0        44    
171    4      call            64     20   0        44    
172    7      ret             64     21   0        43    
173    46     call            64     13   51       0     
174    48     call            64     50   0        14    
175    53     store           64     55   0        9     
176    37     call            64     11   0        53    
177    42     br              1      1    0        0     
178    45     call            64     20   0        44    
179    1      store           64     20   0        44    
180    4      call            64     20   0        44    
181    7      ret             64     21   0        43    
182    46     call            64     13   51       0     
183    48     call            64     6    0        58    
184    53     store           64     4    0        60    
185    37     call            64     3    0        61    
186    42     br              1      1    0        0     
187    55     ret             32     0    8        24    
